,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
66,20170601,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,112.20462126901516,50.066658516280405,48.70437966827929
141,20170602,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,114.10540778129021,50.881697143289614,49.52815085200646
208,20170603,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,111.14216020166386,48.95471296086068,48.59667813542449
334,20170604,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,119.78448050020086,49.43209272810894,49.08570131163002
404,20170605,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,118.34360864173814,49.769751587869905,47.99704257412486
583,20170606,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,115.36289594867586,47.254775253098614,46.465934296243255
596,20170607,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,110.85398582997131,46.50959707983304,44.43124858095954
716,20170608,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,120.9633756571249,50.41013908052,50.619720441750935
867,20170609,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,122.44499944693807,53.46362307956524,52.846522404829685
915,20170610,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,116.87071740864292,50.02881743716926,50.529484022332056
1071,20170611,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,115.12711691729105,48.95471296086068,48.12220922041556
1152,20170612,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,112.18715615557925,47.641918600928,47.06848070978221
1217,20170613,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,112.42293518696405,47.1587171292011,46.54161645446554
1306,20170614,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,107.39007166518213,42.69929149856495,41.82894667900868
1384,20170615,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,120.67229043319306,48.61414324886041,46.800682303764894
1498,20170616,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,115.18533396207742,48.538461090638116,47.66520541884253
1616,20170617,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,115.73839588754795,49.90365079087857,50.727421974605726
1680,20170618,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,122.38096069767307,50.19473601481042,48.474422341373106
1858,20170619,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,116.12845008761666,48.183337117441255,47.08594582321813
1947,20170620,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,112.73730722881048,49.20504625344208,48.206623935355786
1987,20170621,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,118.02923659989172,49.15265091313436,47.68849223675708
2061,20170622,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,122.08696462150188,49.58927874903215,49.734821360998076
2239,20170623,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,118.76859306867864,51.0971002089992,49.699891134126254
2273,20170624,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,117.31607780125866,50.14816237898133,49.68242602069034
2423,20170625,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,123.3706504590414,51.18151492393943,50.474177829785006
2471,20170626,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,120.04936805397884,49.78721670130581,48.95762381310001
2586,20170627,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,119.26052709712351,48.87320909815976,48.19206967415922
2731,20170628,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,120.90515861233852,50.797282428349384,48.253197571184906
2753,20170629,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,121.25737173329607,49.35058886540802,46.442647478328716
2922,20170630,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,121.3679841183902,52.0664140046923,48.9896431877325
3001,20170701,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,121.6357825244075,48.0494379144326,47.92718212038121
3130,20170702,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,119.6796898195854,52.11880934500003,55.74864208743036
3197,20170703,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,120.39575947045778,52.837789848111726,52.15665042411118
3247,20170704,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,118.23881796112266,52.45937905700031,51.536638897136314
3390,20170705,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,120.59369742273144,53.79254938260824,50.910805665682794
3452,20170706,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,119.44682164043994,54.170960173719656,52.41862712564986
3601,20170707,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,114.10831863352956,52.09552252708549,51.123297879153064
3693,20170708,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,112.67617933178477,51.35616605829856,50.78854987163143
3766,20170709,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,114.26841550669208,50.887518847768256,48.55592620407403
3862,20170710,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,112.12893911079287,51.129119583631706,49.39134079675848
3991,20170711,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,116.94057786238658,52.84361155259037,51.11165447019579
4066,20170712,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,118.39891483428521,53.30934791088135,51.11165447019579
4137,20170713,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,119.37696118669625,54.98599880072889,52.779572803325365
4298,20170714,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,115.12711691729105,53.08230143621451,50.910805665682794
4336,20170715,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,113.29328000652029,53.20746808250521,51.00977464181964
4429,20170716,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,117.95064358943013,51.970355880794784,50.12778641330609
4598,20170717,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,117.86622887448988,54.06034778862556,54.051615231907604
4624,20170718,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,117.25786075647228,52.30801474055574,50.42760419395591
4793,20170719,06d86ef037e4bd311b94467c3320ff38,3a3630930e4f054033e0c64a728f759a,06d86ef037e4bd311b94467c3320ff383a3630930e4f054033e0c64a728f759a,115.5084385606418,52.808681325718545,49.35058886540802
