,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
69,20170601,06d86ef037e4bd311b94467c3320ff38,4d3b1591070ad975f4c0b7232485980d,06d86ef037e4bd311b94467c3320ff384d3b1591070ad975f4c0b7232485980d,355.63919404323195,172.9191772767231,164.83574060813527
146,20170602,06d86ef037e4bd311b94467c3320ff38,4d3b1591070ad975f4c0b7232485980d,06d86ef037e4bd311b94467c3320ff384d3b1591070ad975f4c0b7232485980d,345.3202228548475,161.33980706871358,159.14211362802803
292,20170603,06d86ef037e4bd311b94467c3320ff38,4d3b1591070ad975f4c0b7232485980d,06d86ef037e4bd311b94467c3320ff384d3b1591070ad975f4c0b7232485980d,330.9377019403741,173.90595618585212,159.40117947732742
322,20170604,06d86ef037e4bd311b94467c3320ff38,4d3b1591070ad975f4c0b7232485980d,06d86ef037e4bd311b94467c3320ff384d3b1591070ad975f4c0b7232485980d,349.2877144570388,161.78807831356866,156.11773815137596
398,20170605,06d86ef037e4bd311b94467c3320ff38,4d3b1591070ad975f4c0b7232485980d,06d86ef037e4bd311b94467c3320ff384d3b1591070ad975f4c0b7232485980d,365.9174133002661,174.16211118291213,164.06727561695516
534,20170606,06d86ef037e4bd311b94467c3320ff38,4d3b1591070ad975f4c0b7232485980d,06d86ef037e4bd311b94467c3320ff384d3b1591070ad975f4c0b7232485980d,356.625972952361,155.98674980060665,148.22350687834384
628,20170607,06d86ef037e4bd311b94467c3320ff38,4d3b1591070ad975f4c0b7232485980d,06d86ef037e4bd311b94467c3320ff384d3b1591070ad975f4c0b7232485980d,352.6672139068876,150.3775375354396,144.21526334480208
741,20170608,06d86ef037e4bd311b94467c3320ff38,4d3b1591070ad975f4c0b7232485980d,06d86ef037e4bd311b94467c3320ff384d3b1591070ad975f4c0b7232485980d,362.31377822798964,172.97448346927018,164.92597702755415
843,20170609,06d86ef037e4bd311b94467c3320ff38,4d3b1591070ad975f4c0b7232485980d,06d86ef037e4bd311b94467c3320ff384d3b1591070ad975f4c0b7232485980d,350.58013285129624,169.6211816895751,164.78334526782749
938,20170610,06d86ef037e4bd311b94467c3320ff38,4d3b1591070ad975f4c0b7232485980d,06d86ef037e4bd311b94467c3320ff384d3b1591070ad975f4c0b7232485980d,330.6669926821175,162.73410529134722,150.59876230562784
1019,20170611,06d86ef037e4bd311b94467c3320ff38,4d3b1591070ad975f4c0b7232485980d,06d86ef037e4bd311b94467c3320ff384d3b1591070ad975f4c0b7232485980d,337.760739589337,149.36165010391744,143.69713164620342
