,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
79,20170601,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,59.343544602988864,44.75726403176322,43.90147347340355
155,20170602,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,61.241420263024615,46.626031169405785,46.26508549173028
270,20170603,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,57.422382125038574,42.967089904582274,47.359565933714066
326,20170604,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,64.03001670829185,43.96260137042924,47.10050008441472
415,20170605,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,64.79265999499334,47.933003824859846,45.950713449883864
584,20170606,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,63.57592375895816,46.899651279901725,47.4090504217825
683,20170607,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,59.77143988216872,44.42251602424158,45.944891745405215
781,20170608,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,61.881807755674714,46.06132583497797,50.68375919101595
834,20170609,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,64.28035000087326,46.7541086679358,49.83379033713491
935,20170610,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,61.12207532121255,43.19122552700979,48.93433699518546
1043,20170611,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,59.41340505673252,42.62652019258199,45.9565351543625
1150,20170612,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,57.84154484750046,41.4563575923759,44.352655570497944
1246,20170613,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,56.933358948833046,41.12452043709357,43.79086108830944
1329,20170614,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,54.01086330055713,37.049327302047494,39.00833085910893
1404,20170615,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,60.903761403263644,45.869209587182944,42.294683037299656
1556,20170616,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,60.40891652257949,47.03646133514971,43.84034557637786
1606,20170617,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,60.414738227058116,46.087523505131855,47.08594582321813
1685,20170618,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,64.32401278446304,45.2521089124474,44.9726670974728
1824,20170619,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,61.73626514370879,44.29443852571156,43.53179523901008
1892,20170620,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,58.54306023717625,42.72840002095814,41.50002037596568
2006,20170621,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,61.84105582432424,44.25950829883974,42.64980701049654
2063,20170622,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,64.12316397995005,45.66836078266997,43.61912080618964
2214,20170623,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,62.63571848565825,45.15022908407124,43.8170587584633
2306,20170624,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,60.49915294199836,43.69480296441193,44.17218273166017
2420,20170625,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,64.34438875013825,44.23913233316451,43.622031658428966
2522,20170626,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,63.67489273509498,44.204202106292676,42.68473723736836
2568,20170627,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,62.67064871253006,44.10232227791653,42.35581093432536
2723,20170628,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,62.89478433495759,45.3801864109774,42.9408922344284
2752,20170629,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,61.75664110938401,49.48157721617736,38.90645103073278
2921,20170630,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,64.53941585017262,52.51759610178669,43.29601620762527
2997,20170701,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,66.87100849386684,48.25028671894557,44.62045397651524
3123,20170702,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,63.287749387265606,49.53688340872441,55.393518114233494
3193,20170703,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,63.759307450035216,45.08327948256691,47.94173638157782
3318,20170704,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,63.20042382008605,46.26508549173028,45.50535305726812
3392,20170705,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,63.96015625454821,42.382008604479225,42.06181485815417
3453,20170706,06d86ef037e4bd311b94467c3320ff38,663c41e93447911aaeb2bded1ecdd918,06d86ef037e4bd311b94467c3320ff38663c41e93447911aaeb2bded1ecdd918,63.39836177235971,45.418027490088555,42.01524122232507
