,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
63,20170601,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,88.81301267385065,91.34254326981855,98.68371261738012
119,20170602,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,91.06601230708328,91.59869826687859,97.83665461573841
281,20170603,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,87.21786564670407,88.0707453528244,97.67364689033657
340,20170604,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,95.539992198916,96.727619912558,106.3217888933522
421,20170605,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,98.75357307112377,103.76606062723043,112.66162507058814
504,20170606,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,93.31610108807658,90.67304725477526,99.4143365294491
594,20170607,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,86.89767190037901,85.57614498372834,92.41955859836644
768,20170608,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,89.95697760390287,95.21688760035164,101.40827031338236
787,20170609,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,96.55005792595956,100.37200691618492,109.04634658935444
978,20170610,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,90.91173713839943,88.77517159473952,99.20475516821816
1027,20170611,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,85.64309458523267,85.09585436424076,92.3846283714946
1151,20170612,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,86.73466417497715,86.4610440644812,94.24757380465851
1256,20170613,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,86.56292389285736,83.2096221131623,90.67595810701458
1365,20170614,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,80.94206821873308,77.8652974017733,84.5689901089241
1395,20170615,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,90.0384814666038,84.99688538810393,91.17371383993809
1527,20170616,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,88.86249716191908,84.25170721483836,90.27426049798859
1594,20170617,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,89.99481868301402,83.24455234003412,92.13720593115255
1726,20170618,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,94.89669385402658,89.54363658591963,98.3489646098585
1783,20170619,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,88.70240028875654,79.86214203794587,87.37505166762726
1887,20170620,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,85.12496288663395,80.62187447240805,87.94848955877302
2014,20170621,06d86ef037e4bd311b94467c3320ff38,76aa9284408ba09d7069f226d6b86a31,06d86ef037e4bd311b94467c3320ff3876aa9284408ba09d7069f226d6b86a31,89.26710562318436,83.0204167176066,89.63678385757783
