,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
16,20170601,06d86ef037e4bd311b94467c3320ff38,a07711a54a122bee09726fc7489f2c1b,06d86ef037e4bd311b94467c3320ff38a07711a54a122bee09726fc7489f2c1b,43.71226807784785,20.600101297657933,20.346857152837213
114,20170602,06d86ef037e4bd311b94467c3320ff38,a07711a54a122bee09726fc7489f2c1b,06d86ef037e4bd311b94467c3320ff38a07711a54a122bee09726fc7489f2c1b,42.88849689412066,20.504043173760415,19.81708204528121
261,20170603,06d86ef037e4bd311b94467c3320ff38,a07711a54a122bee09726fc7489f2c1b,06d86ef037e4bd311b94467c3320ff38a07711a54a122bee09726fc7489f2c1b,43.23488831059957,19.846190567674405,22.12538787106089
385,20170604,06d86ef037e4bd311b94467c3320ff38,a07711a54a122bee09726fc7489f2c1b,06d86ef037e4bd311b94467c3320ff38a07711a54a122bee09726fc7489f2c1b,43.77048512263421,18.862322510784708,19.325148016836373
395,20170605,06d86ef037e4bd311b94467c3320ff38,a07711a54a122bee09726fc7489f2c1b,06d86ef037e4bd311b94467c3320ff38a07711a54a122bee09726fc7489f2c1b,43.776306827112855,20.26244243789697,20.536062548392927
587,20170606,06d86ef037e4bd311b94467c3320ff38,a07711a54a122bee09726fc7489f2c1b,06d86ef037e4bd311b94467c3320ff38a07711a54a122bee09726fc7489f2c1b,43.47648904646303,19.616233240768235,20.416717606580857
607,20170607,06d86ef037e4bd311b94467c3320ff38,a07711a54a122bee09726fc7489f2c1b,06d86ef037e4bd311b94467c3320ff38a07711a54a122bee09726fc7489f2c1b,43.328035582257776,19.889853351264183,20.57099277526475
729,20170608,06d86ef037e4bd311b94467c3320ff38,a07711a54a122bee09726fc7489f2c1b,06d86ef037e4bd311b94467c3320ff38a07711a54a122bee09726fc7489f2c1b,44.652473351147755,22.061349121795878,22.171961506889982
799,20170609,06d86ef037e4bd311b94467c3320ff38,a07711a54a122bee09726fc7489f2c1b,06d86ef037e4bd311b94467c3320ff38a07711a54a122bee09726fc7489f2c1b,43.00784183593272,21.412229072427827,21.412229072427827
954,20170610,06d86ef037e4bd311b94467c3320ff38,a07711a54a122bee09726fc7489f2c1b,06d86ef037e4bd311b94467c3320ff38a07711a54a122bee09726fc7489f2c1b,40.92076078034128,18.804105465998337,20.57681447974338
