,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
15,20170601,06d86ef037e4bd311b94467c3320ff38,ccbf7a1a33c7c6926366ba5f6e2f1e83,06d86ef037e4bd311b94467c3320ff38ccbf7a1a33c7c6926366ba5f6e2f1e83,92.92313603576856,98.64878239050829,84.65922652834297
166,20170602,06d86ef037e4bd311b94467c3320ff38,ccbf7a1a33c7c6926366ba5f6e2f1e83,06d86ef037e4bd311b94467c3320ff38ccbf7a1a33c7c6926366ba5f6e2f1e83,91.4269579847588,95.99699600048905,81.43400224717793
244,20170603,06d86ef037e4bd311b94467c3320ff38,ccbf7a1a33c7c6926366ba5f6e2f1e83,06d86ef037e4bd311b94467c3320ff38ccbf7a1a33c7c6926366ba5f6e2f1e83,87.5991872900548,97.99384063666164,85.42478066728377
366,20170604,06d86ef037e4bd311b94467c3320ff38,ccbf7a1a33c7c6926366ba5f6e2f1e83,06d86ef037e4bd311b94467c3320ff38ccbf7a1a33c7c6926366ba5f6e2f1e83,96.27934866770292,96.73926332151527,87.25279587357588
467,20170605,06d86ef037e4bd311b94467c3320ff38,ccbf7a1a33c7c6926366ba5f6e2f1e83,06d86ef037e4bd311b94467c3320ff38ccbf7a1a33c7c6926366ba5f6e2f1e83,97.02452684096848,102.41251433594731,89.99772953525336
571,20170606,06d86ef037e4bd311b94467c3320ff38,ccbf7a1a33c7c6926366ba5f6e2f1e83,06d86ef037e4bd311b94467c3320ff38ccbf7a1a33c7c6926366ba5f6e2f1e83,91.16498128322011,92.97553137607628,80.959533332169
633,20170607,06d86ef037e4bd311b94467c3320ff38,ccbf7a1a33c7c6926366ba5f6e2f1e83,06d86ef037e4bd311b94467c3320ff38ccbf7a1a33c7c6926366ba5f6e2f1e83,89.50288465456917,91.72095406092994,78.11563069435469
743,20170608,06d86ef037e4bd311b94467c3320ff38,ccbf7a1a33c7c6926366ba5f6e2f1e83,06d86ef037e4bd311b94467c3320ff38ccbf7a1a33c7c6926366ba5f6e2f1e83,91.19408980561329,98.8670963084572,85.24430782844604
856,20170609,06d86ef037e4bd311b94467c3320ff38,ccbf7a1a33c7c6926366ba5f6e2f1e83,06d86ef037e4bd311b94467c3320ff38ccbf7a1a33c7c6926366ba5f6e2f1e83,91.41822542804084,99.1319838622352,83.51817245053006
939,20170610,06d86ef037e4bd311b94467c3320ff38,ccbf7a1a33c7c6926366ba5f6e2f1e83,06d86ef037e4bd311b94467c3320ff38ccbf7a1a33c7c6926366ba5f6e2f1e83,88.22793137374761,91.5550354832888,81.55625804122931
