,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
30,20170601,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,92.9929964895122,58.93311443724494,54.1447625035658
149,20170602,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,96.46564321101931,59.72777709857893,53.897340063223716
198,20170603,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,96.5238602558057,60.77568390473362,63.73310977988136
348,20170604,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,91.67438042510086,54.630874827532,55.11989800373753
450,20170605,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,77.39082848676435,42.114210198461905,41.389407990871575
577,20170606,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,31.847634350385107,28.115921779578628,28.459402343818226
618,20170607,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,30.823014362144953,26.439270889731088,26.590635206175666
707,20170608,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,46.59110094253396,35.707424419721605,32.540417183342946
835,20170609,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,92.67862444766581,64.08532290083892,60.78732731369091
976,20170610,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,88.87996227535497,60.895028846545706,63.29066023950493
985,20170611,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,89.56401255159487,56.53748304428571,57.56210303252586
1095,20170612,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,88.37638483795288,55.74864208743036,54.188425287155574
1228,20170613,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,89.84636521880877,54.93942516489978,52.75046428093218
1352,20170614,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,87.24406331685793,51.18733662841807,50.46544527306706
1465,20170615,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,92.27983769087915,57.59994411163701,53.233665752659064
1538,20170616,3f7f0ce35d6d0a08377eb2efe2189f4f,01bb949d16b241654d3be95fa224abc8,3f7f0ce35d6d0a08377eb2efe2189f4f01bb949d16b241654d3be95fa224abc8,93.694511879188,61.730443439230136,58.429536999842824
