,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
55,20170601,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,113.70662102450356,133.55863329665658,133.89629215641756
167,20170602,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,113.74737295585402,131.76845916947562,132.00132734862115
233,20170603,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,114.40231470970072,132.02170331429636,138.20435347060916
350,20170604,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,113.10116375872528,129.323343288448,134.26597039081102
451,20170605,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,90.71088833388642,89.17104749928684,94.55321328978701
578,20170606,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,46.701713327628056,52.404072864453255,52.852344109308326
612,20170607,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,45.88085299614021,50.88460799552894,50.63427470294754
695,20170608,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,62.76670683642757,67.41824871485875,64.8188576651472
848,20170609,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,107.36096314278895,128.28125818677194,127.28865757316427
940,20170610,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,110.96459821506542,130.54881208120113,137.54650086452313
1024,20170611,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,109.04925744159377,127.00339405371108,130.6506919095773
1112,20170612,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,107.67242433239605,123.94117749794786,125.43735554895764
1195,20170613,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,110.15538129253484,124.27592550546949,126.64535922827488
1342,20170614,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,106.9621763860023,121.22244150642427,124.1507588591788
1397,20170615,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,113.85798534094812,126.17380116550524,128.18520006287443
1518,20170616,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,114.11414033800816,134.64147032968313,134.80156720284566
1604,20170617,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,111.10722997479205,127.21879711942064,133.90793556537486
1677,20170618,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,110.75210600159515,126.68028945514669,130.45275395730363
1835,20170619,3f7f0ce35d6d0a08377eb2efe2189f4f,2b6555ea85b6a3ac817c7926576d65a9,3f7f0ce35d6d0a08377eb2efe2189f4f2b6555ea85b6a3ac817c7926576d65a9,105.79783549027485,117.45288785650663,120.47435248091938
