,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
80,20170601,3f7f0ce35d6d0a08377eb2efe2189f4f,36427b54c6d666453a98398aad52f195,3f7f0ce35d6d0a08377eb2efe2189f4f36427b54c6d666453a98398aad52f195,319.4136379249116,427.91274429327416,415.9345873284781
195,20170602,3f7f0ce35d6d0a08377eb2efe2189f4f,36427b54c6d666453a98398aad52f195,3f7f0ce35d6d0a08377eb2efe2189f4f36427b54c6d666453a98398aad52f195,307.7789615243551,406.06970908942725,397.3371523714714
293,20170603,3f7f0ce35d6d0a08377eb2efe2189f4f,36427b54c6d666453a98398aad52f195,3f7f0ce35d6d0a08377eb2efe2189f4f36427b54c6d666453a98398aad52f195,302.2279663039745,421.5496212981237,400.576930913833
341,20170604,3f7f0ce35d6d0a08377eb2efe2189f4f,36427b54c6d666453a98398aad52f195,3f7f0ce35d6d0a08377eb2efe2189f4f36427b54c6d666453a98398aad52f195,321.8383778402641,407.9093677046766,400.46631852873884
423,20170605,3f7f0ce35d6d0a08377eb2efe2189f4f,36427b54c6d666453a98398aad52f195,3f7f0ce35d6d0a08377eb2efe2189f4f36427b54c6d666453a98398aad52f195,268.69785935926325,310.6199533099301,303.69503583259115
573,20170606,3f7f0ce35d6d0a08377eb2efe2189f4f,36427b54c6d666453a98398aad52f195,3f7f0ce35d6d0a08377eb2efe2189f4f36427b54c6d666453a98398aad52f195,160.5480552596189,228.19917215362315,227.53840869529785
642,20170607,3f7f0ce35d6d0a08377eb2efe2189f4f,36427b54c6d666453a98398aad52f195,3f7f0ce35d6d0a08377eb2efe2189f4f36427b54c6d666453a98398aad52f195,159.81743134754998,226.21397092640785,226.58947086528
758,20170608,3f7f0ce35d6d0a08377eb2efe2189f4f,36427b54c6d666453a98398aad52f195,3f7f0ce35d6d0a08377eb2efe2189f4f36427b54c6d666453a98398aad52f195,211.79651978506269,278.2803849311002,276.67068364275696
812,20170609,3f7f0ce35d6d0a08377eb2efe2189f4f,36427b54c6d666453a98398aad52f195,3f7f0ce35d6d0a08377eb2efe2189f4f36427b54c6d666453a98398aad52f195,310.34342234719486,417.48898242427424,413.4050567325102
892,20170610,3f7f0ce35d6d0a08377eb2efe2189f4f,36427b54c6d666453a98398aad52f195,3f7f0ce35d6d0a08377eb2efe2189f4f36427b54c6d666453a98398aad52f195,303.20310180414623,425.8198415332041,406.44229817606004
1031,20170611,3f7f0ce35d6d0a08377eb2efe2189f4f,36427b54c6d666453a98398aad52f195,3f7f0ce35d6d0a08377eb2efe2189f4f36427b54c6d666453a98398aad52f195,320.3625757549296,406.7508485134278,400.85055102432887
1088,20170612,3f7f0ce35d6d0a08377eb2efe2189f4f,36427b54c6d666453a98398aad52f195,3f7f0ce35d6d0a08377eb2efe2189f4f36427b54c6d666453a98398aad52f195,322.89210635089745,399.05746604490884,390.6858550046283
1258,20170613,3f7f0ce35d6d0a08377eb2efe2189f4f,36427b54c6d666453a98398aad52f195,3f7f0ce35d6d0a08377eb2efe2189f4f36427b54c6d666453a98398aad52f195,324.9471680318564,398.1958537820704,389.0033824103022
1290,20170614,3f7f0ce35d6d0a08377eb2efe2189f4f,36427b54c6d666453a98398aad52f195,3f7f0ce35d6d0a08377eb2efe2189f4f36427b54c6d666453a98398aad52f195,324.2922262780097,395.13945893078585,386.380704542676
