,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
70,20170601,3f7f0ce35d6d0a08377eb2efe2189f4f,402adb2557f9bfb55e876b202ed436c7,3f7f0ce35d6d0a08377eb2efe2189f4f402adb2557f9bfb55e876b202ed436c7,174.9393087308102,180.41171094072925,172.35156109005595
116,20170602,3f7f0ce35d6d0a08377eb2efe2189f4f,402adb2557f9bfb55e876b202ed436c7,3f7f0ce35d6d0a08377eb2efe2189f4f402adb2557f9bfb55e876b202ed436c7,173.7138399380571,180.75810235720814,175.640824120486
259,20170603,3f7f0ce35d6d0a08377eb2efe2189f4f,402adb2557f9bfb55e876b202ed436c7,3f7f0ce35d6d0a08377eb2efe2189f4f402adb2557f9bfb55e876b202ed436c7,173.04143307077447,179.96926140035282,189.9360194677798
343,20170604,3f7f0ce35d6d0a08377eb2efe2189f4f,402adb2557f9bfb55e876b202ed436c7,3f7f0ce35d6d0a08377eb2efe2189f4f402adb2557f9bfb55e876b202ed436c7,167.92706568629166,165.84871718741815,168.89929033422408
441,20170605,3f7f0ce35d6d0a08377eb2efe2189f4f,402adb2557f9bfb55e876b202ed436c7,3f7f0ce35d6d0a08377eb2efe2189f4f402adb2557f9bfb55e876b202ed436c7,145.51641429577754,125.68477798929972,125.4664640713508
544,20170606,3f7f0ce35d6d0a08377eb2efe2189f4f,402adb2557f9bfb55e876b202ed436c7,3f7f0ce35d6d0a08377eb2efe2189f4f402adb2557f9bfb55e876b202ed436c7,92.26237257744324,84.74946294776186,84.65631567610366
600,20170607,3f7f0ce35d6d0a08377eb2efe2189f4f,402adb2557f9bfb55e876b202ed436c7,3f7f0ce35d6d0a08377eb2efe2189f4f402adb2557f9bfb55e876b202ed436c7,89.40973738291098,81.6610487218448,82.08603314878529
746,20170608,3f7f0ce35d6d0a08377eb2efe2189f4f,402adb2557f9bfb55e876b202ed436c7,3f7f0ce35d6d0a08377eb2efe2189f4f402adb2557f9bfb55e876b202ed436c7,118.19515517753288,107.63167240104559,99.28334817867977
820,20170609,3f7f0ce35d6d0a08377eb2efe2189f4f,402adb2557f9bfb55e876b202ed436c7,3f7f0ce35d6d0a08377eb2efe2189f4f402adb2557f9bfb55e876b202ed436c7,171.49868138393558,174.05732050229668,166.4221550785639
975,20170610,3f7f0ce35d6d0a08377eb2efe2189f4f,402adb2557f9bfb55e876b202ed436c7,3f7f0ce35d6d0a08377eb2efe2189f4f402adb2557f9bfb55e876b202ed436c7,170.24119321654996,176.0134132071188,185.63377985806687
1045,20170611,3f7f0ce35d6d0a08377eb2efe2189f4f,402adb2557f9bfb55e876b202ed436c7,3f7f0ce35d6d0a08377eb2efe2189f4f402adb2557f9bfb55e876b202ed436c7,167.74659284745388,166.54441087261532,168.90220118646337
1155,20170612,3f7f0ce35d6d0a08377eb2efe2189f4f,402adb2557f9bfb55e876b202ed436c7,3f7f0ce35d6d0a08377eb2efe2189f4f402adb2557f9bfb55e876b202ed436c7,166.19219775165774,161.43295434037182,161.1535125253972
1251,20170613,3f7f0ce35d6d0a08377eb2efe2189f4f,402adb2557f9bfb55e876b202ed436c7,3f7f0ce35d6d0a08377eb2efe2189f4f402adb2557f9bfb55e876b202ed436c7,166.541500020376,160.9410203119269,159.2934779444726
1357,20170614,3f7f0ce35d6d0a08377eb2efe2189f4f,402adb2557f9bfb55e876b202ed436c7,3f7f0ce35d6d0a08377eb2efe2189f4f402adb2557f9bfb55e876b202ed436c7,165.16466691117827,160.10269486700318,159.3604275459769
