,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
54,20170601,3f7f0ce35d6d0a08377eb2efe2189f4f,450fc9a17a3c2eed378b14f27624778d,3f7f0ce35d6d0a08377eb2efe2189f4f450fc9a17a3c2eed378b14f27624778d,108.26623818921705,151.60009547595345,146.71277456613743
180,20170602,3f7f0ce35d6d0a08377eb2efe2189f4f,450fc9a17a3c2eed378b14f27624778d,3f7f0ce35d6d0a08377eb2efe2189f4f450fc9a17a3c2eed378b14f27624778d,112.60631887804114,147.54527830658262,142.26790319669794
277,20170603,3f7f0ce35d6d0a08377eb2efe2189f4f,450fc9a17a3c2eed378b14f27624778d,3f7f0ce35d6d0a08377eb2efe2189f4f450fc9a17a3c2eed378b14f27624778d,109.79734646709863,149.03563465311376,155.47735065872587
375,20170604,3f7f0ce35d6d0a08377eb2efe2189f4f,450fc9a17a3c2eed378b14f27624778d,3f7f0ce35d6d0a08377eb2efe2189f4f450fc9a17a3c2eed378b14f27624778d,109.14531556549127,140.3234539008331,142.40762410418526
420,20170605,3f7f0ce35d6d0a08377eb2efe2189f4f,450fc9a17a3c2eed378b14f27624778d,3f7f0ce35d6d0a08377eb2efe2189f4f450fc9a17a3c2eed378b14f27624778d,87.43326871241362,104.22888613328213,108.30116841608887
572,20170606,3f7f0ce35d6d0a08377eb2efe2189f4f,450fc9a17a3c2eed378b14f27624778d,3f7f0ce35d6d0a08377eb2efe2189f4f450fc9a17a3c2eed378b14f27624778d,42.90887285979589,72.43946882768337,72.61120910980317
632,20170607,3f7f0ce35d6d0a08377eb2efe2189f4f,450fc9a17a3c2eed378b14f27624778d,3f7f0ce35d6d0a08377eb2efe2189f4f450fc9a17a3c2eed378b14f27624778d,41.42142736550407,71.12958531998999,70.73079856320335
700,20170608,3f7f0ce35d6d0a08377eb2efe2189f4f,450fc9a17a3c2eed378b14f27624778d,3f7f0ce35d6d0a08377eb2efe2189f4f450fc9a17a3c2eed378b14f27624778d,57.59121155491906,99.13780556671385,92.47195393867418
837,20170609,3f7f0ce35d6d0a08377eb2efe2189f4f,450fc9a17a3c2eed378b14f27624778d,3f7f0ce35d6d0a08377eb2efe2189f4f450fc9a17a3c2eed378b14f27624778d,106.15587031571104,151.69033189537234,145.70853054357255
930,20170610,3f7f0ce35d6d0a08377eb2efe2189f4f,450fc9a17a3c2eed378b14f27624778d,3f7f0ce35d6d0a08377eb2efe2189f4f450fc9a17a3c2eed378b14f27624778d,107.08443218005371,149.74297174726817,155.55012196470884
1021,20170611,3f7f0ce35d6d0a08377eb2efe2189f4f,450fc9a17a3c2eed378b14f27624778d,3f7f0ce35d6d0a08377eb2efe2189f4f450fc9a17a3c2eed378b14f27624778d,106.45277724412158,140.9376437233293,142.0117481996379
