,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
11,20170601,3f7f0ce35d6d0a08377eb2efe2189f4f,4dba3225999ecab2a33c3398a1b9eb2c,3f7f0ce35d6d0a08377eb2efe2189f4f4dba3225999ecab2a33c3398a1b9eb2c,176.59267280274318,300.48727666486195,305.90437268223394
175,20170602,3f7f0ce35d6d0a08377eb2efe2189f4f,4dba3225999ecab2a33c3398a1b9eb2c,3f7f0ce35d6d0a08377eb2efe2189f4f4dba3225999ecab2a33c3398a1b9eb2c,166.5909845084444,288.51494140454446,293.16939413521493
238,20170603,3f7f0ce35d6d0a08377eb2efe2189f4f,4dba3225999ecab2a33c3398a1b9eb2c,3f7f0ce35d6d0a08377eb2efe2189f4f4dba3225999ecab2a33c3398a1b9eb2c,159.7155515191738,298.0974669763814,288.9632126493995
297,20170604,3f7f0ce35d6d0a08377eb2efe2189f4f,4dba3225999ecab2a33c3398a1b9eb2c,3f7f0ce35d6d0a08377eb2efe2189f4f4dba3225999ecab2a33c3398a1b9eb2c,171.80141001682475,285.7379883682345,282.2391439765735
475,20170605,3f7f0ce35d6d0a08377eb2efe2189f4f,4dba3225999ecab2a33c3398a1b9eb2c,3f7f0ce35d6d0a08377eb2efe2189f4f4dba3225999ecab2a33c3398a1b9eb2c,141.68573274883425,222.26103358541317,219.91488668052241
562,20170606,3f7f0ce35d6d0a08377eb2efe2189f4f,4dba3225999ecab2a33c3398a1b9eb2c,3f7f0ce35d6d0a08377eb2efe2189f4f4dba3225999ecab2a33c3398a1b9eb2c,97.73768563960155,166.53567831589734,166.29989928451255
631,20170607,3f7f0ce35d6d0a08377eb2efe2189f4f,4dba3225999ecab2a33c3398a1b9eb2c,3f7f0ce35d6d0a08377eb2efe2189f4f4dba3225999ecab2a33c3398a1b9eb2c,96.71306565136145,161.89577984642344,162.48086114652648
769,20170608,3f7f0ce35d6d0a08377eb2efe2189f4f,4dba3225999ecab2a33c3398a1b9eb2c,3f7f0ce35d6d0a08377eb2efe2189f4f4dba3225999ecab2a33c3398a1b9eb2c,116.0731438950696,194.80005355968123,199.8125411157879
803,20170609,3f7f0ce35d6d0a08377eb2efe2189f4f,4dba3225999ecab2a33c3398a1b9eb2c,3f7f0ce35d6d0a08377eb2efe2189f4f4dba3225999ecab2a33c3398a1b9eb2c,160.83040792683283,285.92428291155085,289.44059241664775
920,20170610,3f7f0ce35d6d0a08377eb2efe2189f4f,4dba3225999ecab2a33c3398a1b9eb2c,3f7f0ce35d6d0a08377eb2efe2189f4f4dba3225999ecab2a33c3398a1b9eb2c,158.0592765950015,296.24907580441396,286.9110618206799
1046,20170611,3f7f0ce35d6d0a08377eb2efe2189f4f,4dba3225999ecab2a33c3398a1b9eb2c,3f7f0ce35d6d0a08377eb2efe2189f4f4dba3225999ecab2a33c3398a1b9eb2c,170.6690884957298,285.7496317771917,280.90597365096556
1132,20170612,3f7f0ce35d6d0a08377eb2efe2189f4f,4dba3225999ecab2a33c3398a1b9eb2c,3f7f0ce35d6d0a08377eb2efe2189f4f4dba3225999ecab2a33c3398a1b9eb2c,169.88024753887444,278.050427604194,277.69821448323637
1199,20170613,3f7f0ce35d6d0a08377eb2efe2189f4f,4dba3225999ecab2a33c3398a1b9eb2c,3f7f0ce35d6d0a08377eb2efe2189f4f4dba3225999ecab2a33c3398a1b9eb2c,169.16417788800206,277.9951214116469,274.8659552543794
