,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
83,20170601,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,74.49744136088164,34.0802580179425,33.3932968894633
117,20170602,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,74.98064283260855,36.09165691531167,34.08316887018181
286,20170603,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,75.7723946417032,33.966734780609066,36.560304125841974
296,20170604,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,74.2878599996507,33.850300691036324,33.902696031344064
434,20170605,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,70.63765129154514,26.919561509218674,28.74175501103213
495,20170606,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,53.294793649684756,23.46729075338677,26.05212754190172
676,20170607,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,51.51044122698245,22.46886843530049,23.47893416234405
772,20170608,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,62.24857513782886,28.08972410942476,26.616832876329532
822,20170609,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,78.76475074372276,37.282195481192986,36.77570719155155
961,20170610,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,75.65304969989114,35.058304370353554,37.80323803203102
1048,20170611,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,73.97057710556497,34.18795955079729,35.25915317486654
1139,20170612,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,72.95468967404277,32.67140553411228,33.27686279989055
1250,20170613,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,73.57761205325696,32.73544428337729,33.82410302088245
1289,20170614,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,69.92449249291208,30.26995243667441,30.44460357103353
1435,20170615,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,74.2121778414284,33.675649556677214,33.39038603722398
1532,20170616,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,76.09549924026756,35.081591188268106,34.679893579242126
1629,20170617,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,74.64880567732621,33.89105262238679,35.9082732242346
1751,20170618,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,73.76390659657335,32.96249075804414,34.065703756745904
1817,20170619,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,73.7580848920947,32.84023496399276,32.6277427505225
1884,20170620,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,74.36936386235163,32.19693661910334,34.05988205226726
2012,20170621,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,73.44953455472694,33.41949455961717,32.86352178190731
2153,20170622,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,74.48870880416368,34.47904477472915,35.093234597225376
2194,20170623,3f7f0ce35d6d0a08377eb2efe2189f4f,5e36de425a507017165ee1625b23f562,3f7f0ce35d6d0a08377eb2efe2189f4f5e36de425a507017165ee1625b23f562,78.16802603466243,38.93555955312597,38.149629448509934
