,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
85,20170601,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,169.33882902236118,92.56801206257168,84.96486601347144
120,20170602,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,171.749014676517,90.49257441593753,84.19931187453064
266,20170603,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,173.7458593126896,89.79979158297968,98.87582886517515
301,20170604,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,164.42239959015203,80.27257220368979,86.76377269737034
413,20170605,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,151.8416962118169,70.68713577961356,76.53212707616537
516,20170606,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,110.54834634484286,65.7561520862078,66.28883804600311
658,20170607,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,104.81105658114583,62.88605177823964,62.16707127512794
762,20170608,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,134.20775334602465,79.41678164533012,72.55008121277749
784,20170609,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,177.44555250886356,93.68869017470936,91.10967509067305
886,20170610,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,173.61487096192025,92.61167484616146,99.39978226825251
1034,20170611,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,165.30729867090488,83.13685080717933,87.38087337210591
1168,20170612,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,163.4327098287837,80.45595589476687,81.44273480389589
1273,20170613,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,163.66266715568986,80.01641720662977,81.62029679049431
1307,20170614,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,158.38820289804448,74.5993211892578,74.32570107876184
1378,20170615,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,166.34647292034163,86.46977662119914,83.0204167176066
1482,20170616,3f7f0ce35d6d0a08377eb2efe2189f4f,739d7b5930812338a131df1812734f9c,3f7f0ce35d6d0a08377eb2efe2189f4f739d7b5930812338a131df1812734f9c,167.07418598017128,87.6632260393198,84.67086993730025
