,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
72,20170601,3f7f0ce35d6d0a08377eb2efe2189f4f,8557deefde49ac19e77889eae2836e22,3f7f0ce35d6d0a08377eb2efe2189f4f8557deefde49ac19e77889eae2836e22,56.27550634274704,42.00359781336781,39.59923386369061
165,20170602,3f7f0ce35d6d0a08377eb2efe2189f4f,8557deefde49ac19e77889eae2836e22,3f7f0ce35d6d0a08377eb2efe2189f4f8557deefde49ac19e77889eae2836e22,58.918560176048345,41.91336139394893,38.9879548934337
280,20170603,3f7f0ce35d6d0a08377eb2efe2189f4f,8557deefde49ac19e77889eae2836e22,3f7f0ce35d6d0a08377eb2efe2189f4f8557deefde49ac19e77889eae2836e22,57.352521671294916,40.958601859452415,43.76466341815558
318,20170604,3f7f0ce35d6d0a08377eb2efe2189f4f,8557deefde49ac19e77889eae2836e22,3f7f0ce35d6d0a08377eb2efe2189f4f8557deefde49ac19e77889eae2836e22,56.59278923683277,40.172671754836394,40.597656181776905
428,20170605,3f7f0ce35d6d0a08377eb2efe2189f4f,8557deefde49ac19e77889eae2836e22,3f7f0ce35d6d0a08377eb2efe2189f4f8557deefde49ac19e77889eae2836e22,39.741865623417226,24.151341029626657,33.550482910386506
579,20170606,3f7f0ce35d6d0a08377eb2efe2189f4f,8557deefde49ac19e77889eae2836e22,3f7f0ce35d6d0a08377eb2efe2189f4f8557deefde49ac19e77889eae2836e22,6.101146293611842,13.28512962025022,13.966269044250774
622,20170607,3f7f0ce35d6d0a08377eb2efe2189f4f,8557deefde49ac19e77889eae2836e22,3f7f0ce35d6d0a08377eb2efe2189f4f8557deefde49ac19e77889eae2836e22,5.626677378602908,12.912540533617433,13.372455187429777
706,20170608,3f7f0ce35d6d0a08377eb2efe2189f4f,8557deefde49ac19e77889eae2836e22,3f7f0ce35d6d0a08377eb2efe2189f4f8557deefde49ac19e77889eae2836e22,22.011864633727466,25.577658626892784,19.278574381007274
857,20170609,3f7f0ce35d6d0a08377eb2efe2189f4f,8557deefde49ac19e77889eae2836e22,3f7f0ce35d6d0a08377eb2efe2189f4f8557deefde49ac19e77889eae2836e22,60.56319169126337,42.425671388069,41.572791681948644
918,20170610,3f7f0ce35d6d0a08377eb2efe2189f4f,8557deefde49ac19e77889eae2836e22,3f7f0ce35d6d0a08377eb2efe2189f4f8557deefde49ac19e77889eae2836e22,57.567924737004496,40.44920271757165,43.69771381665125
