,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
45,20170601,3f7f0ce35d6d0a08377eb2efe2189f4f,8e36f44049175bf28290bd040a329480,3f7f0ce35d6d0a08377eb2efe2189f4f8e36f44049175bf28290bd040a329480,202.9475289775341,159.57583061168648,159.58165231616513
111,20170602,3f7f0ce35d6d0a08377eb2efe2189f4f,8e36f44049175bf28290bd040a329480,3f7f0ce35d6d0a08377eb2efe2189f4f8e36f44049175bf28290bd040a329480,200.74401383236983,154.75837015561416,158.79863306378843
291,20170603,3f7f0ce35d6d0a08377eb2efe2189f4f,8e36f44049175bf28290bd040a329480,3f7f0ce35d6d0a08377eb2efe2189f4f8e36f44049175bf28290bd040a329480,190.4716162798144,156.42337763650443,169.54841038359208
363,20170604,3f7f0ce35d6d0a08377eb2efe2189f4f,8e36f44049175bf28290bd040a329480,3f7f0ce35d6d0a08377eb2efe2189f4f8e36f44049175bf28290bd040a329480,194.86409230894625,156.28947843349576,155.6228932706918
440,20170605,3f7f0ce35d6d0a08377eb2efe2189f4f,8e36f44049175bf28290bd040a329480,3f7f0ce35d6d0a08377eb2efe2189f4f8e36f44049175bf28290bd040a329480,177.486304440214,111.84076473910031,115.27557038149631
586,20170606,3f7f0ce35d6d0a08377eb2efe2189f4f,8e36f44049175bf28290bd040a329480,3f7f0ce35d6d0a08377eb2efe2189f4f8e36f44049175bf28290bd040a329480,99.96739845491965,72.5384378038202,71.78161622159736
682,20170607,3f7f0ce35d6d0a08377eb2efe2189f4f,8e36f44049175bf28290bd040a329480,3f7f0ce35d6d0a08377eb2efe2189f4f8e36f44049175bf28290bd040a329480,98.45375529047396,70.4455350437501,68.97264381065489
705,20170608,3f7f0ce35d6d0a08377eb2efe2189f4f,8e36f44049175bf28290bd040a329480,3f7f0ce35d6d0a08377eb2efe2189f4f8e36f44049175bf28290bd040a329480,128.18520006287443,96.48019747221592,94.5706784032229
821,20170609,3f7f0ce35d6d0a08377eb2efe2189f4f,8e36f44049175bf28290bd040a329480,3f7f0ce35d6d0a08377eb2efe2189f4f8e36f44049175bf28290bd040a329480,190.47743798429303,153.95206408532292,153.9462423808443
907,20170610,3f7f0ce35d6d0a08377eb2efe2189f4f,8e36f44049175bf28290bd040a329480,3f7f0ce35d6d0a08377eb2efe2189f4f8e36f44049175bf28290bd040a329480,180.53105588254127,157.7332611441978,169.6211816895751
1063,20170611,3f7f0ce35d6d0a08377eb2efe2189f4f,8e36f44049175bf28290bd040a329480,3f7f0ce35d6d0a08377eb2efe2189f4f8e36f44049175bf28290bd040a329480,189.97677139913026,153.4513975001601,153.0438781866555
