,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
90,20170601,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,22.396097129317518,22.87638774880509,22.029329747163377
113,20170602,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,22.29130644870205,24.061104610207767,23.062682292121487
256,20170603,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,22.442670765146623,22.861833487608504,25.702825273183485
307,20170604,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,22.564926559198003,21.69749259188105,22.84145752193327
430,20170605,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,20.422539311059488,18.189915643502108,18.84194654510948
576,20170606,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,15.27324169970484,13.890586886028492,14.27773023385787
651,20170607,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,14.562993753311096,14.036129497994425,13.625699332250495
751,20170608,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,17.398163834407438,16.935338328355776,16.31823765362023
825,20170609,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,24.94018198648201,24.943092838721324,24.80919363571267
890,20170610,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,22.759953659232348,23.001554395095802,25.539817547781638
1036,20170611,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,22.390275424838887,21.63636469485536,23.199492347369464
1143,20170612,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,21.886697987436765,20.42836101553813,21.083302769384826
1271,20170613,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,22.04097315612065,20.8766322603932,21.677116626205827
1348,20170614,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,21.43842674258169,19.67445028555461,20.33230289164061
1422,20170615,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,21.784818159060613,21.415139924667145,21.362744584359408
1555,20170616,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,22.975356724941932,23.08596911003604,22.49506610545436
1583,20170617,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,22.695914909967343,21.57523679782967,23.726356602686128
1757,20170618,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,22.949159054788066,20.929027600700934,21.933271623265856
1788,20170619,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,22.1428529844968,20.536062548392927,21.368566288838046
1868,20170620,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,22.0176863382061,21.10658958729937,22.12538787106089
2011,20170621,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,22.08463593971043,20.62047726333316,20.98724464548731
2090,20170622,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,22.294217300941373,22.524174627847554,21.927449918787225
2222,20170623,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,23.941759668395715,24.296883641592583,24.381298356532827
2260,20170624,3f7f0ce35d6d0a08377eb2efe2189f4f,9b476f4792e4302d91e214afd537dfa5,3f7f0ce35d6d0a08377eb2efe2189f4f9b476f4792e4302d91e214afd537dfa5,23.61574421759203,23.650674444463853,25.6591624895937
