,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
77,20170601,3f7f0ce35d6d0a08377eb2efe2189f4f,a4b4f6d5532d10b4a6611c8e9cffb5e8,3f7f0ce35d6d0a08377eb2efe2189f4fa4b4f6d5532d10b4a6611c8e9cffb5e8,58.2257773430905,58.52268427150101,61.38696287499054
125,20170602,3f7f0ce35d6d0a08377eb2efe2189f4f,a4b4f6d5532d10b4a6611c8e9cffb5e8,3f7f0ce35d6d0a08377eb2efe2189f4fa4b4f6d5532d10b4a6611c8e9cffb5e8,59.49199806719412,59.791815847843935,61.657672133247175
265,20170603,3f7f0ce35d6d0a08377eb2efe2189f4f,a4b4f6d5532d10b4a6611c8e9cffb5e8,3f7f0ce35d6d0a08377eb2efe2189f4fa4b4f6d5532d10b4a6611c8e9cffb5e8,59.66373834931392,59.742331359775534,69.32194607937312
331,20170604,3f7f0ce35d6d0a08377eb2efe2189f4f,a4b4f6d5532d10b4a6611c8e9cffb5e8,3f7f0ce35d6d0a08377eb2efe2189f4fa4b4f6d5532d10b4a6611c8e9cffb5e8,59.110676423843394,56.3802970233625,64.27452829639462
417,20170605,3f7f0ce35d6d0a08377eb2efe2189f4f,a4b4f6d5532d10b4a6611c8e9cffb5e8,3f7f0ce35d6d0a08377eb2efe2189f4fa4b4f6d5532d10b4a6611c8e9cffb5e8,49.74937562219467,37.736288430526685,43.709357225608514
567,20170606,3f7f0ce35d6d0a08377eb2efe2189f4f,a4b4f6d5532d10b4a6611c8e9cffb5e8,3f7f0ce35d6d0a08377eb2efe2189f4fa4b4f6d5532d10b4a6611c8e9cffb5e8,22.649341274138244,16.230912086440668,16.690826740253012
639,20170607,3f7f0ce35d6d0a08377eb2efe2189f4f,a4b4f6d5532d10b4a6611c8e9cffb5e8,3f7f0ce35d6d0a08377eb2efe2189f4fa4b4f6d5532d10b4a6611c8e9cffb5e8,22.04388400835997,16.01841987297041,15.500288174371693
767,20170608,3f7f0ce35d6d0a08377eb2efe2189f4f,a4b4f6d5532d10b4a6611c8e9cffb5e8,3f7f0ce35d6d0a08377eb2efe2189f4fa4b4f6d5532d10b4a6611c8e9cffb5e8,30.31652607250351,24.978023065593142,23.318837289181534
844,20170609,3f7f0ce35d6d0a08377eb2efe2189f4f,a4b4f6d5532d10b4a6611c8e9cffb5e8,3f7f0ce35d6d0a08377eb2efe2189f4fa4b4f6d5532d10b4a6611c8e9cffb5e8,55.93202577850743,57.47477746534631,59.09321131040747
931,20170610,3f7f0ce35d6d0a08377eb2efe2189f4f,a4b4f6d5532d10b4a6611c8e9cffb5e8,3f7f0ce35d6d0a08377eb2efe2189f4fa4b4f6d5532d10b4a6611c8e9cffb5e8,57.195335650371725,56.86058764285008,65.9424466295242
