,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
86,20170601,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,205.2500130988351,487.0991028753399,458.04879752694
104,20170602,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,209.8346053757619,448.9756710969838,425.2638687554943
273,20170603,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,204.5950713449884,474.08177166110704,481.01833254740325
367,20170604,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,202.289676371448,406.99244924929116,409.92658830652437
403,20170605,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,174.43864214564738,319.6843471831683,324.6531719556852
514,20170606,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,115.48806259496656,266.6457085305436,269.66717315495634
671,20170607,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,113.16811336022958,263.61260049717356,265.97912336773965
774,20170608,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,142.6637791012453,368.87192832317453,346.9357458476693
846,20170609,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,207.58451659476864,432.570107876184,390.22594035081596
901,20170610,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,205.05789685104008,435.4372973319128,453.4292750231413
1030,20170611,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,198.13006852146168,392.70889731095474,401.2260509632009
1173,20170612,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,197.39071205267481,360.5643560321592,361.09995284419375
1264,20170613,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,198.1155142602652,358.8615074721576,358.1803680481572
1368,20170614,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,195.37640230306636,362.1333053891518,361.3968597726043
1387,20170615,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,201.42515325637038,443.5381991139366,426.640701864692
1543,20170616,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,208.1870630083076,432.19751878955117,413.0062699757235
1577,20170617,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,200.47621542635255,438.1589441756758,447.4358302623842
1700,20170618,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,199.10229316939416,389.0266692282167,392.9359437856217
1846,20170619,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,190.3551821902417,362.9774525385543,359.2806701946196
1867,20170620,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,190.85293792316517,363.09097577588767,360.3460421142102
2036,20170621,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,196.13613473752847,373.526381053845,368.58957565596063
2100,20170622,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,203.814962944851,437.71358378306,420.7083850009606
2235,20170623,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,211.6073143895069,423.19716366557816,411.8972352725431
2309,20170624,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,207.6601987529909,434.3253517764932,443.5673076363298
2375,20170625,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,204.609625606185,388.4765181549855,391.4019246555007
2495,20170626,3f7f0ce35d6d0a08377eb2efe2189f4f,f29b7de70c06c60afadb220115b6918c,3f7f0ce35d6d0a08377eb2efe2189f4ff29b7de70c06c60afadb220115b6918c,202.43230813117458,357.813600666003,371.5004278952792
