,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
57,20170601,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,147.6646232483947,178.64482363146286,168.9982593103609
148,20170602,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,146.23539479888922,174.6365800979211,167.44968591904342
202,20170603,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,147.95861932456586,171.28327831822602,188.5650080630608
368,20170604,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,148.1274487544463,167.88340290270187,175.01790174127186
484,20170605,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,151.91155666556057,167.8601160847873,166.86169376670102
541,20170606,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,146.2004645720174,155.32016463780266,158.16115642337763
668,20170607,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,141.400469229381,151.8416962118169,154.53714538542596
719,20170608,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,148.04594489174542,164.24192675131425,167.062542571214
811,20170609,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,154.72343992874238,177.38733546407718,163.99159345873286
962,20170610,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,143.98530601789594,153.14866886727097,173.35871596486018
991,20170611,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,138.96699675731062,145.2893678211107,156.43211019322237
1138,20170612,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,137.27288075402717,140.82994219047453,148.8580726665153
1183,20170613,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,140.84158559943182,143.07129841474992,149.96710736969573
1359,20170614,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,137.45917529734356,137.73279540783952,146.97184041543684
1447,20170615,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,142.48912796688612,157.25297052471026,158.62107107718995
1523,20170616,5615dc7c1af1f7dabd80bd8b8ecb1ea0,178c03faf94e50490bc798e9507008ab,5615dc7c1af1f7dabd80bd8b8ecb1ea0178c03faf94e50490bc798e9507008ab,135.9164236105047,143.00143796100625,146.51483661386382
