,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
1,20170601,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,130.33340901549155,235.4908570131163,231.2759429705829
154,20170602,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,130.1529361766538,227.33173818630615,224.5897153768681
240,20170603,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,130.81661048721847,233.35429146945648,250.19357167391468
357,20170604,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,129.19235493767866,209.90446582950557,219.08820464455584
453,20170605,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,128.80521158984928,197.73710346915368,197.9961693184531
557,20170606,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,129.55038976311485,195.2541465090149,198.4386188588295
630,20170607,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,124.68053396673479,190.61715889178035,194.16257691927044
699,20170608,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,127.05870024625813,209.97723713548854,211.31914001781442
855,20170609,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,136.3676057075991,224.2491456648677,214.59384878704788
942,20170610,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,129.88804862287586,219.3880224252057,233.52603175157623
986,20170611,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,126.58423133124916,201.0001688294299,212.97832579422604
1111,20170612,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,125.56543304748766,190.60260463058376,197.58282830046986
1198,20170613,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,127.18968859702744,190.75979065150696,199.06736294252232
1341,20170614,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,123.1814450634857,185.20297372664768,190.80054258285745
1450,20170615,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,128.33365352707966,217.3242281875288,216.4247748455793
1516,20170616,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,128.4937504002422,215.63884474096332,214.88202315874042
1622,20170617,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,130.80205622602188,220.30203002835168,236.02354297291168
1679,20170618,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,114.30916743804251,177.25343626106854,194.5817396417324
1787,20170619,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,114.53621391270936,185.08071793259631,183.94257470702274
1945,20170620,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,127.95524273596823,196.81436330928972,206.6093810945969
2029,20170621,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,119.32456584638851,194.7593016283308,208.97881481740228
2130,20170622,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,127.52443660454912,220.1593982686251,216.97492591881053
2221,20170623,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,135.7941678164533,228.2195481192984,228.10893573420432
2300,20170624,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,131.85287388441589,220.112824632796,235.022209802586
2388,20170625,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,133.86427278178508,207.07511745288787,216.63144535457093
2512,20170626,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,131.2590600275949,196.6193362092553,208.61204743524812
2607,20170627,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,130.25190515279064,207.67766386642685,212.43399642547345
2670,20170628,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,129.4630641959353,209.6948844682746,212.57080648072144
2831,20170629,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,128.7586379540202,254.1144896402769,245.21310349244044
2897,20170630,5615dc7c1af1f7dabd80bd8b8ecb1ea0,1d86aa481642ba64ef42e2956339bbad,5615dc7c1af1f7dabd80bd8b8ecb1ea01d86aa481642ba64ef42e2956339bbad,123.5889643769903,235.63639962508225,231.2235476302752
