,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
50,20170601,5615dc7c1af1f7dabd80bd8b8ecb1ea0,2d9ca395c9405028ca5d6635253d7166,5615dc7c1af1f7dabd80bd8b8ecb1ea02d9ca395c9405028ca5d6635253d7166,63.04032694692354,115.96544236221482,116.96968638477976
107,20170602,5615dc7c1af1f7dabd80bd8b8ecb1ea0,2d9ca395c9405028ca5d6635253d7166,5615dc7c1af1f7dabd80bd8b8ecb1ea02d9ca395c9405028ca5d6635253d7166,61.7391759959481,115.51717111735977,116.90855848775404
269,20170603,5615dc7c1af1f7dabd80bd8b8ecb1ea0,2d9ca395c9405028ca5d6635253d7166,5615dc7c1af1f7dabd80bd8b8ecb1ea02d9ca395c9405028ca5d6635253d7166,62.05063718555519,117.30734524454071,124.1041852233497
370,20170604,5615dc7c1af1f7dabd80bd8b8ecb1ea0,2d9ca395c9405028ca5d6635253d7166,5615dc7c1af1f7dabd80bd8b8ecb1ea02d9ca395c9405028ca5d6635253d7166,65.16233822938679,115.93633383982164,119.6971549330213
397,20170605,5615dc7c1af1f7dabd80bd8b8ecb1ea0,2d9ca395c9405028ca5d6635253d7166,5615dc7c1af1f7dabd80bd8b8ecb1ea02d9ca395c9405028ca5d6635253d7166,67.25815184169622,115.01068282771831,116.31765548317236
548,20170606,5615dc7c1af1f7dabd80bd8b8ecb1ea0,2d9ca395c9405028ca5d6635253d7166,5615dc7c1af1f7dabd80bd8b8ecb1ea02d9ca395c9405028ca5d6635253d7166,65.19144675177999,109.69255578648315,112.80425683031478
685,20170607,5615dc7c1af1f7dabd80bd8b8ecb1ea0,2d9ca395c9405028ca5d6635253d7166,5615dc7c1af1f7dabd80bd8b8ecb1ea02d9ca395c9405028ca5d6635253d7166,62.37956348859819,104.90420385280405,108.90953653410645
687,20170608,5615dc7c1af1f7dabd80bd8b8ecb1ea0,2d9ca395c9405028ca5d6635253d7166,5615dc7c1af1f7dabd80bd8b8ecb1ea02d9ca395c9405028ca5d6635253d7166,63.74184233659931,112.18424530333992,116.34385315332622
875,20170609,5615dc7c1af1f7dabd80bd8b8ecb1ea0,2d9ca395c9405028ca5d6635253d7166,5615dc7c1af1f7dabd80bd8b8ecb1ea02d9ca395c9405028ca5d6635253d7166,66.48386514603746,123.73159613671692,118.64633727462729
904,20170610,5615dc7c1af1f7dabd80bd8b8ecb1ea0,2d9ca395c9405028ca5d6635253d7166,5615dc7c1af1f7dabd80bd8b8ecb1ea02d9ca395c9405028ca5d6635253d7166,61.826501563127664,107.24161820097687,114.17817908727318
