,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
47,20170601,5615dc7c1af1f7dabd80bd8b8ecb1ea0,4a33322e6eabfd38b334964c939d07cb,5615dc7c1af1f7dabd80bd8b8ecb1ea04a33322e6eabfd38b334964c939d07cb,219.08238294007717,147.9033131320188,142.12818228921066
115,20170602,5615dc7c1af1f7dabd80bd8b8ecb1ea0,4a33322e6eabfd38b334964c939d07cb,5615dc7c1af1f7dabd80bd8b8ecb1ea04a33322e6eabfd38b334964c939d07cb,218.660309365376,147.4957938185142,142.93157750726255
285,20170603,5615dc7c1af1f7dabd80bd8b8ecb1ea0,4a33322e6eabfd38b334964c939d07cb,5615dc7c1af1f7dabd80bd8b8ecb1ea04a33322e6eabfd38b334964c939d07cb,219.60633634315457,149.53339038603724,149.07638658446422
362,20170604,5615dc7c1af1f7dabd80bd8b8ecb1ea0,4a33322e6eabfd38b334964c939d07cb,5615dc7c1af1f7dabd80bd8b8ecb1ea04a33322e6eabfd38b334964c939d07cb,215.93284081713446,140.870694121825,137.4475318883863
394,20170605,5615dc7c1af1f7dabd80bd8b8ecb1ea0,4a33322e6eabfd38b334964c939d07cb,5615dc7c1af1f7dabd80bd8b8ecb1ea04a33322e6eabfd38b334964c939d07cb,217.61822426369994,139.8868260649353,134.71424163566607
525,20170606,5615dc7c1af1f7dabd80bd8b8ecb1ea0,4a33322e6eabfd38b334964c939d07cb,5615dc7c1af1f7dabd80bd8b8ecb1ea04a33322e6eabfd38b334964c939d07cb,219.0387201564874,139.4938610126273,134.07676499525533
670,20170607,5615dc7c1af1f7dabd80bd8b8ecb1ea0,4a33322e6eabfd38b334964c939d07cb,5615dc7c1af1f7dabd80bd8b8ecb1ea04a33322e6eabfd38b334964c939d07cb,211.7877872283448,132.53983501289508,129.14869215408888
730,20170608,5615dc7c1af1f7dabd80bd8b8ecb1ea0,4a33322e6eabfd38b334964c939d07cb,5615dc7c1af1f7dabd80bd8b8ecb1ea04a33322e6eabfd38b334964c939d07cb,215.69997263798896,143.86596107608386,140.16044617543122
873,20170609,5615dc7c1af1f7dabd80bd8b8ecb1ea0,4a33322e6eabfd38b334964c939d07cb,5615dc7c1af1f7dabd80bd8b8ecb1ea04a33322e6eabfd38b334964c939d07cb,220.45921604927486,152.025079902894,148.52332465899366
908,20170610,5615dc7c1af1f7dabd80bd8b8ecb1ea0,4a33322e6eabfd38b334964c939d07cb,5615dc7c1af1f7dabd80bd8b8ecb1ea04a33322e6eabfd38b334964c939d07cb,210.6030703669421,146.5584993974536,147.78687904244606
1070,20170611,5615dc7c1af1f7dabd80bd8b8ecb1ea0,4a33322e6eabfd38b334964c939d07cb,5615dc7c1af1f7dabd80bd8b8ecb1ea04a33322e6eabfd38b334964c939d07cb,208.58584976509425,136.43746616134274,134.96166407600822
1087,20170612,5615dc7c1af1f7dabd80bd8b8ecb1ea0,4a33322e6eabfd38b334964c939d07cb,5615dc7c1af1f7dabd80bd8b8ecb1ea04a33322e6eabfd38b334964c939d07cb,206.8509818304604,132.2516606412025,130.4149128781925
1240,20170613,5615dc7c1af1f7dabd80bd8b8ecb1ea0,4a33322e6eabfd38b334964c939d07cb,5615dc7c1af1f7dabd80bd8b8ecb1ea04a33322e6eabfd38b334964c939d07cb,207.08967171408446,132.64171484127124,129.8996920318331
1327,20170614,5615dc7c1af1f7dabd80bd8b8ecb1ea0,4a33322e6eabfd38b334964c939d07cb,5615dc7c1af1f7dabd80bd8b8ecb1ea04a33322e6eabfd38b334964c939d07cb,203.53843198211567,124.4010921517602,122.4333560379808
