,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
43,20170601,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,335.9007050084124,520.1372757916063,521.1706283365644
109,20170602,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,323.8032031018042,479.78704205017135,481.75768901619017
272,20170603,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,326.07075699623334,481.9527161162246,518.489733424152
359,20170604,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,345.3755290473945,493.72711342426834,524.0785697236437
439,20170605,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,352.08504345902395,469.4651600095477,465.2735327849288
530,20170606,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,347.77407129259313,465.2677110804502,475.7031163584074
659,20170607,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,332.26505056150336,450.2593569345234,468.2658888869484
735,20170608,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,339.6411501359368,466.63872248516924,496.70200441285203
814,20170609,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,350.4549662050055,487.09619202310057,447.25244657130725
906,20170610,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,324.3009588347277,429.44676342339517,474.4514498955005
1059,20170611,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,329.17663633558635,451.0249110734641,490.1613194311032
1135,20170612,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,330.5156283656728,450.8997444271734,483.5973476314396
1181,20170613,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,332.1951901077598,433.02711167775703,465.5849939745359
1344,20170614,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,327.8871287935682,429.02760070093325,462.4587386695077
1380,20170615,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,332.1020428361016,478.57612751861495,502.17440662277113
1557,20170616,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,301.23827654260623,410.2875339841999,436.10388249471686
1652,20170617,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d70ece4057ea94fd8c36cc39b91131,5615dc7c1af1f7dabd80bd8b8ecb1ea060d70ece4057ea94fd8c36cc39b91131,310.2153448486648,422.0328227698506,479.819061424804
