,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
5,20170601,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,186.97277188815343,352.48674106804987,338.1566154938843
159,20170602,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,182.693819096355,326.4433460828662,320.4411687653912
229,20170603,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,188.8881126616251,355.4936514312661,348.0098503239779
388,20170604,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,188.2564577256929,329.6365509893987,323.89926122570165
460,20170605,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,189.35384901991603,322.37688550453805,313.286293961146
521,20170606,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,190.61424803954102,315.63826257051534,308.8268683305098
588,20170607,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,184.78381100418582,305.9538571703024,303.50874128927467
754,20170608,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,186.78647734483704,338.3691077073546,331.3830623329899
817,20170609,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,191.91248813827715,331.9273917017425,324.2922262780097
926,20170610,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,179.27647856739497,322.80186993147856,322.80186993147856
994,20170611,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,182.6094043814148,305.22614411047266,311.98223215793115
1106,20170612,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,182.27756722613248,298.6447071973733,297.02336250007284
1269,20170613,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,185.21461713560498,302.60346624284665,302.4579236308806
1274,20170614,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,180.8425170721484,293.04713834116353,294.77909542355815
1457,20170615,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,182.01559052459385,323.1686373136327,323.107509416607
1472,20170616,5615dc7c1af1f7dabd80bd8b8ecb1ea0,60d9a82c1f961f206c44cdaf618fc15b,5615dc7c1af1f7dabd80bd8b8ecb1ea060d9a82c1f961f206c44cdaf618fc15b,170.39546838523384,278.18723765944196,278.77814066402357
