,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
56,20170601,5615dc7c1af1f7dabd80bd8b8ecb1ea0,eb8ef95c3874a09518095f3110c01e2d,5615dc7c1af1f7dabd80bd8b8ecb1ea0eb8ef95c3874a09518095f3110c01e2d,158.52210210105315,104.80814572890651,89.72702027699671
144,20170602,5615dc7c1af1f7dabd80bd8b8ecb1ea0,eb8ef95c3874a09518095f3110c01e2d,5615dc7c1af1f7dabd80bd8b8ecb1ea0eb8ef95c3874a09518095f3110c01e2d,163.28425636457843,102.81712279721258,90.19275663528768
216,20170603,5615dc7c1af1f7dabd80bd8b8ecb1ea0,eb8ef95c3874a09518095f3110c01e2d,5615dc7c1af1f7dabd80bd8b8ecb1ea0eb8ef95c3874a09518095f3110c01e2d,162.2858340464921,102.81421194497324,97.76097245751612
372,20170604,5615dc7c1af1f7dabd80bd8b8ecb1ea0,eb8ef95c3874a09518095f3110c01e2d,5615dc7c1af1f7dabd80bd8b8ecb1ea0eb8ef95c3874a09518095f3110c01e2d,166.49201553230756,109.21517601923492,101.22488662230528
483,20170605,5615dc7c1af1f7dabd80bd8b8ecb1ea0,eb8ef95c3874a09518095f3110c01e2d,5615dc7c1af1f7dabd80bd8b8ecb1ea0eb8ef95c3874a09518095f3110c01e2d,163.57243073627097,108.92991249978172,101.71973150298945
512,20170606,5615dc7c1af1f7dabd80bd8b8ecb1ea0,eb8ef95c3874a09518095f3110c01e2d,5615dc7c1af1f7dabd80bd8b8ecb1ea0eb8ef95c3874a09518095f3110c01e2d,160.39669094317438,96.62282923194252,87.81167950352504
661,20170607,5615dc7c1af1f7dabd80bd8b8ecb1ea0,eb8ef95c3874a09518095f3110c01e2d,5615dc7c1af1f7dabd80bd8b8ecb1ea0eb8ef95c3874a09518095f3110c01e2d,152.75570381496297,87.81750120800369,80.5374597574678
692,20170608,5615dc7c1af1f7dabd80bd8b8ecb1ea0,eb8ef95c3874a09518095f3110c01e2d,5615dc7c1af1f7dabd80bd8b8ecb1ea0eb8ef95c3874a09518095f3110c01e2d,158.56867573688226,95.59238753922372,86.38536190625892
839,20170609,5615dc7c1af1f7dabd80bd8b8ecb1ea0,eb8ef95c3874a09518095f3110c01e2d,5615dc7c1af1f7dabd80bd8b8ecb1ea0eb8ef95c3874a09518095f3110c01e2d,167.90668972061638,103.88249471680321,94.85594192267612
894,20170610,5615dc7c1af1f7dabd80bd8b8ecb1ea0,eb8ef95c3874a09518095f3110c01e2d,5615dc7c1af1f7dabd80bd8b8ecb1ea0eb8ef95c3874a09518095f3110c01e2d,159.55545464601127,90.05594658003972,87.03157110338766
