,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
62,20170601,58a33c947775af5de36841c9f553317d,0b28636d08bff292de12f663d522c55f,58a33c947775af5de36841c9f553317d0b28636d08bff292de12f663d522c55f,85.91962554796793,52.616565077923525,42.952535643385666
191,20170602,58a33c947775af5de36841c9f553317d,0b28636d08bff292de12f663d522c55f,58a33c947775af5de36841c9f553317d0b28636d08bff292de12f663d522c55f,78.67742517654321,45.7382212364136,38.96175722327983
278,20170603,58a33c947775af5de36841c9f553317d,0b28636d08bff292de12f663d522c55f,58a33c947775af5de36841c9f553317d0b28636d08bff292de12f663d522c55f,79.32363437367194,45.356899593062856,44.224578071967905
347,20170604,58a33c947775af5de36841c9f553317d,0b28636d08bff292de12f663d522c55f,58a33c947775af5de36841c9f553317d0b28636d08bff292de12f663d522c55f,83.36389728184619,45.47333368263561,42.69638064632564
472,20170605,58a33c947775af5de36841c9f553317d,0b28636d08bff292de12f663d522c55f,58a33c947775af5de36841c9f553317d0b28636d08bff292de12f663d522c55f,87.37214081538794,50.739065383563,45.895407257336814
497,20170606,58a33c947775af5de36841c9f553317d,0b28636d08bff292de12f663d522c55f,58a33c947775af5de36841c9f553317d0b28636d08bff292de12f663d522c55f,84.06832352376131,47.56623644270571,43.808326201745345
591,20170607,58a33c947775af5de36841c9f553317d,0b28636d08bff292de12f663d522c55f,58a33c947775af5de36841c9f553317d0b28636d08bff292de12f663d522c55f,78.63667324519274,44.92318260940439,40.976066972888326
738,20170608,58a33c947775af5de36841c9f553317d,0b28636d08bff292de12f663d522c55f,58a33c947775af5de36841c9f553317d0b28636d08bff292de12f663d522c55f,82.77008342502519,51.39691798964901,44.154717618224275
791,20170609,58a33c947775af5de36841c9f553317d,0b28636d08bff292de12f663d522c55f,58a33c947775af5de36841c9f553317d0b28636d08bff292de12f663d522c55f,98.6808017651408,68.90569420915057,59.911160789656
949,20170610,58a33c947775af5de36841c9f553317d,0b28636d08bff292de12f663d522c55f,58a33c947775af5de36841c9f553317d0b28636d08bff292de12f663d522c55f,80.28421561264706,46.800682303764894,45.27248487812262
1051,20170611,58a33c947775af5de36841c9f553317d,0b28636d08bff292de12f663d522c55f,58a33c947775af5de36841c9f553317d0b28636d08bff292de12f663d522c55f,78.41835932724382,44.27115170779701,41.38649713863225
