,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
9,20170601,58a33c947775af5de36841c9f553317d,12da6611282638727b4f969b4a2ea373,58a33c947775af5de36841c9f553317d12da6611282638727b4f969b4a2ea373,71.31005815882773,37.110455199073186,34.842901304643966
193,20170602,58a33c947775af5de36841c9f553317d,12da6611282638727b4f969b4a2ea373,58a33c947775af5de36841c9f553317d12da6611282638727b4f969b4a2ea373,74.45960028177049,38.21657905001428,36.88631957664565
223,20170603,58a33c947775af5de36841c9f553317d,12da6611282638727b4f969b4a2ea373,58a33c947775af5de36841c9f553317d12da6611282638727b4f969b4a2ea373,73.32436790843623,36.63016457958562,39.412939320374214
380,20170604,58a33c947775af5de36841c9f553317d,12da6611282638727b4f969b4a2ea373,58a33c947775af5de36841c9f553317d12da6611282638727b4f969b4a2ea373,71.9591782081958,35.244598913669954,36.75824207811564
476,20170605,58a33c947775af5de36841c9f553317d,12da6611282638727b4f969b4a2ea373,58a33c947775af5de36841c9f553317d12da6611282638727b4f969b4a2ea373,72.77421683520501,35.33192448084951,35.30863766293496
492,20170606,58a33c947775af5de36841c9f553317d,12da6611282638727b4f969b4a2ea373,58a33c947775af5de36841c9f553317d12da6611282638727b4f969b4a2ea373,70.76572879007516,35.0961454494647,35.166005903208344
615,20170607,58a33c947775af5de36841c9f553317d,12da6611282638727b4f969b4a2ea373,58a33c947775af5de36841c9f553317d12da6611282638727b4f969b4a2ea373,68.9435352882617,33.85321154327564,33.43113796857444
777,20170608,58a33c947775af5de36841c9f553317d,12da6611282638727b4f969b4a2ea373,58a33c947775af5de36841c9f553317d12da6611282638727b4f969b4a2ea373,72.49768587246975,35.716156976439564,34.839990452404656
850,20170609,58a33c947775af5de36841c9f553317d,12da6611282638727b4f969b4a2ea373,58a33c947775af5de36841c9f553317d12da6611282638727b4f969b4a2ea373,70.72788771096403,34.04241693883135,33.317614731241015
937,20170610,58a33c947775af5de36841c9f553317d,12da6611282638727b4f969b4a2ea373,58a33c947775af5de36841c9f553317d12da6611282638727b4f969b4a2ea373,67.29308206856804,32.496754399753165,34.0511494955493
