,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
49,20170601,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,59.42504846568979,35.579346921191586,34.706091249396
185,20170602,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,60.176048343434,36.627253727346286,34.95351368973808
248,20170603,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,58.94766869844153,35.98104453021756,38.391230184373384
365,20170604,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,58.88654080141584,32.97995587148005,34.31312619708799
400,20170605,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,59.77726158664735,34.54308352399416,31.137386403991364
537,20170606,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,62.06228059451247,31.675894068265308,32.787839623685024
619,20170607,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,59.62007556572414,30.25539817547782,29.897363350041623
702,20170608,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,61.366586909315316,32.942114792368905,35.951936007824365
833,20170609,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,59.92280419861328,35.51530817192658,34.714823806113955
947,20170610,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,57.35834337577357,33.89687432686542,35.72488953315752
1016,20170611,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,56.552037305482294,31.69627003394054,33.579591432779694
1118,20170612,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,55.477932829173724,30.447514423272853,30.788084135273127
1205,20170613,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,54.93069260818183,31.175227483102518,31.99026611011172
1350,20170614,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,53.050282061582,28.837813134929647,28.497243422929373
1414,20170615,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,57.54172706685064,32.16200639223152,31.373165435376173
1528,20170616,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,57.69600223553452,35.524040728644536,34.435381991139366
1582,20170617,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,57.12256434438876,35.756908907790034,36.33907935565375
1668,20170618,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,57.818258029585905,33.85612239551496,34.6274982389344
1827,20170619,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,56.37447531888387,31.530351456299385,31.495421229427556
1923,20170620,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,55.87380873372106,32.025196336983555,32.01355292802627
2046,20170621,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,55.1431848216521,32.22604514149653,32.255153663889715
2094,20170622,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,58.43826955656078,33.364188367070106,32.82859155503549
2182,20170623,58a33c947775af5de36841c9f553317d,1df63b98ae38be96c378a9923b4f8c2a,58a33c947775af5de36841c9f553317d1df63b98ae38be96c378a9923b4f8c2a,57.85027740421841,36.1906258914485,35.14562993753312
