,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
40,20170601,58a33c947775af5de36841c9f553317d,62e4009269d5a307a68463796241ef0d,58a33c947775af5de36841c9f553317d62e4009269d5a307a68463796241ef0d,248.41504095569104,237.1122017104168,237.5080776149641
121,20170602,58a33c947775af5de36841c9f553317d,62e4009269d5a307a68463796241ef0d,58a33c947775af5de36841c9f553317d62e4009269d5a307a68463796241ef0d,235.31620587875716,218.41288692503392,217.44357312934082
263,20170603,58a33c947775af5de36841c9f553317d,62e4009269d5a307a68463796241ef0d,58a33c947775af5de36841c9f553317d62e4009269d5a307a68463796241ef0d,231.32251660641205,229.53234247923112,217.54545295771698
376,20170604,58a33c947775af5de36841c9f553317d,62e4009269d5a307a68463796241ef0d,58a33c947775af5de36841c9f553317d62e4009269d5a307a68463796241ef0d,249.02631992594794,236.7105041013908,230.21057105099231
442,20170605,58a33c947775af5de36841c9f553317d,62e4009269d5a307a68463796241ef0d,58a33c947775af5de36841c9f553317d62e4009269d5a307a68463796241ef0d,264.5790034406274,255.84644672267154,246.66270790762118
491,20170606,58a33c947775af5de36841c9f553317d,62e4009269d5a307a68463796241ef0d,58a33c947775af5de36841c9f553317d62e4009269d5a307a68463796241ef0d,260.63188780411133,243.13475499356704,237.59249232990442
675,20170607,58a33c947775af5de36841c9f553317d,62e4009269d5a307a68463796241ef0d,58a33c947775af5de36841c9f553317d62e4009269d5a307a68463796241ef0d,255.1915049688248,232.3849776737633,228.8482922029912
720,20170608,58a33c947775af5de36841c9f553317d,62e4009269d5a307a68463796241ef0d,58a33c947775af5de36841c9f553317d62e4009269d5a307a68463796241ef0d,260.2418336040426,249.0466958916232,248.5605835676569
801,20170609,58a33c947775af5de36841c9f553317d,62e4009269d5a307a68463796241ef0d,58a33c947775af5de36841c9f553317d62e4009269d5a307a68463796241ef0d,260.51254286229926,247.8328705078273,246.94797142707444
960,20170610,58a33c947775af5de36841c9f553317d,62e4009269d5a307a68463796241ef0d,58a33c947775af5de36841c9f553317d62e4009269d5a307a68463796241ef0d,243.15513095924226,236.1574421759203,222.46770409440484
1054,20170611,58a33c947775af5de36841c9f553317d,62e4009269d5a307a68463796241ef0d,58a33c947775af5de36841c9f553317d62e4009269d5a307a68463796241ef0d,248.83420367815293,230.09704781365886,224.28116503950028
1122,20170612,58a33c947775af5de36841c9f553317d,62e4009269d5a307a68463796241ef0d,58a33c947775af5de36841c9f553317d62e4009269d5a307a68463796241ef0d,250.70588166803486,229.86417963451345,223.21870397214897
1206,20170613,58a33c947775af5de36841c9f553317d,62e4009269d5a307a68463796241ef0d,58a33c947775af5de36841c9f553317d62e4009269d5a307a68463796241ef0d,246.79369625839055,220.14193315518918,214.7335696945352
1349,20170614,58a33c947775af5de36841c9f553317d,62e4009269d5a307a68463796241ef0d,58a33c947775af5de36841c9f553317d62e4009269d5a307a68463796241ef0d,249.36688963794828,227.11633512059663,222.24065761973802
