,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
58,20170601,58a33c947775af5de36841c9f553317d,7dfa063fe54cbaf7f7d55e75af1c29e8,58a33c947775af5de36841c9f553317d7dfa063fe54cbaf7f7d55e75af1c29e8,53.89151835874507,54.32232449016424,42.545016329881065
176,20170602,58a33c947775af5de36841c9f553317d,7dfa063fe54cbaf7f7d55e75af1c29e8,58a33c947775af5de36841c9f553317d7dfa063fe54cbaf7f7d55e75af1c29e8,57.535905362372,51.303770717990815,39.95726868912681
215,20170603,58a33c947775af5de36841c9f553317d,7dfa063fe54cbaf7f7d55e75af1c29e8,58a33c947775af5de36841c9f553317d7dfa063fe54cbaf7f7d55e75af1c29e8,54.45331284093357,50.64009640742618,45.17060504974646
369,20170604,58a33c947775af5de36841c9f553317d,7dfa063fe54cbaf7f7d55e75af1c29e8,58a33c947775af5de36841c9f553317d7dfa063fe54cbaf7f7d55e75af1c29e8,56.618986906986635,50.19182516257111,42.489710137334015
408,20170605,58a33c947775af5de36841c9f553317d,7dfa063fe54cbaf7f7d55e75af1c29e8,58a33c947775af5de36841c9f553317d7dfa063fe54cbaf7f7d55e75af1c29e8,59.38429653433934,54.077812902061474,44.506930739181826
505,20170606,58a33c947775af5de36841c9f553317d,7dfa063fe54cbaf7f7d55e75af1c29e8,58a33c947775af5de36841c9f553317d7dfa063fe54cbaf7f7d55e75af1c29e8,56.552037305482294,52.44773564804304,42.43731479702628
613,20170607,58a33c947775af5de36841c9f553317d,7dfa063fe54cbaf7f7d55e75af1c29e8,58a33c947775af5de36841c9f553317d7dfa063fe54cbaf7f7d55e75af1c29e8,52.730088315256936,51.44640247771743,40.67333833999919
704,20170608,58a33c947775af5de36841c9f553317d,7dfa063fe54cbaf7f7d55e75af1c29e8,58a33c947775af5de36841c9f553317d7dfa063fe54cbaf7f7d55e75af1c29e8,55.61183203218238,56.945002357790315,44.45453539887409
841,20170609,58a33c947775af5de36841c9f553317d,7dfa063fe54cbaf7f7d55e75af1c29e8,58a33c947775af5de36841c9f553317d7dfa063fe54cbaf7f7d55e75af1c29e8,58.880719096937206,58.72062222377468,51.42020480756357
941,20170610,58a33c947775af5de36841c9f553317d,7dfa063fe54cbaf7f7d55e75af1c29e8,58a33c947775af5de36841c9f553317d7dfa063fe54cbaf7f7d55e75af1c29e8,54.82008022308772,49.37096483108325,44.07030290328402
