,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
38,20170601,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,36.08874606307235,29.545150229084072,29.07941387079309
173,20170602,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,35.77437402122594,26.98942196296232,27.69675905711675
264,20170603,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,36.83101338409861,27.44642576453534,32.04848315489809
386,20170604,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,38.62992006799751,28.82616972597237,30.395119082965113
399,20170605,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,40.81305924748649,32.697603204266144,33.26521939093328
519,20170606,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,39.328524605433984,29.932293576913448,30.68329345465765
637,20170607,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,38.16709456194585,28.374987628877978,29.158006881254696
732,20170608,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,39.019974268066214,32.08632423400923,31.812704123513285
832,20170609,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,40.65005152208464,32.004820371308305,32.444359059445425
927,20170610,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,37.35787763941527,28.18869308556159,32.74999854457389
1023,20170611,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,36.43222662731196,27.92671638402292,28.968801485698986
1093,20170612,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,35.70160271524297,27.32708082272328,28.57001472891233
1234,20170613,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,35.65793993165319,27.280507186894173,28.2527318348266
1286,20170614,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,36.388563843722174,27.883053600433136,28.968801485698986
1389,20170615,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,37.325858264782774,30.24957647099918,30.575591921802868
1470,20170616,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,37.86436592905671,29.66449517089614,30.26995243667441
1597,20170617,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,36.569036682559926,28.482689161732768,31.82434753247056
1725,20170618,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,37.90802871264649,30.39802993520443,31.306215833871843
1857,20170619,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,37.7683078051592,30.48244465014467,33.567948023822424
1942,20170620,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,36.6418079885429,30.52028572925581,31.2363553801282
2050,20170621,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,37.59365667080008,31.760308783205552,33.53883950142923
2117,20170622,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,39.18880369794669,34.77595170313965,34.18795955079729
2158,20170623,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,39.50026488755378,33.63489762532675,33.78917279401063
2341,20170624,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,37.92840467832172,30.773529874076534,34.69444784043873
2408,20170625,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,39.011241711348255,32.23186684597517,33.786261941771315
2485,20170626,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,38.69395881726253,31.672983216025987,32.965401610283465
2603,20170627,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,37.86727678129603,31.684626624983267,32.43271565048816
2729,20170628,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,37.79450547531306,30.79390583975177,30.191359426212806
2760,20170629,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,39.23246648153647,36.292505719824646,32.74999854457389
2883,20170630,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,39.4071176158956,34.30439364037003,31.74866537424828
2973,20170701,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,41.505842080444324,31.052971689051123,32.00773122354763
3107,20170702,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,37.71591246485146,51.12620873139238,58.24033160428711
3189,20170703,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,34.68571528372077,41.072125096785854,42.71093490752222
3239,20170704,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,34.71773465835327,42.32088070745353,43.51141927333486
3413,20170705,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,34.41791687770345,41.84350094020528,41.96284588201735
3487,20170706,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,37.21524587968865,46.68424821419215,45.412205785609906
3613,20170707,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,33.58541313725833,39.031617677023476,38.12343177835607
3695,20170708,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,32.08923508624856,36.04217242724325,36.714579294525855
3724,20170709,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,32.831502407274805,35.34356788980678,35.381408968917924
3853,20170710,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,34.15302932392546,39.5817687502547,39.4100284681349
4016,20170711,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,34.47322307025051,39.607966420408566,39.71857880550268
4050,20170712,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,33.730955749224265,37.91385041712513,37.028951336372266
4170,20170713,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,33.803727055207226,38.50766427394613,37.14538542594501
4234,20170714,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,34.54308352399416,38.73179989637367,37.960424052954224
4360,20170715,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,34.02204097315612,37.30548229910754,38.24277672016813
4437,20170716,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,33.794994498489274,38.018641097740606,37.51506366033848
4569,20170717,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,34.17922699407933,38.44653637692043,37.69553649917624
4630,20170718,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,33.59996739845492,36.55448242136333,36.2692189019101
4739,20170719,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,34.589657159823254,37.165761391620244,36.83101338409861
4885,20170720,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,34.91567261062694,38.72888904413435,37.53252877377439
4908,20170721,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,36.70002503332926,42.050171449196895,36.91542809903884
5031,20170722,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,38.391230184373384,40.32985777575959,41.182737481879954
5112,20170723,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,33.25357598197601,29.571347899237946,32.726711726659325
5256,20170724,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,36.39147469596149,37.43355979763757,39.331435457673294
5340,20170725,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,31.117010438316132,29.76637499927229,29.713979658964554
5443,20170726,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,34.01621926867749,35.454180274900885,35.89662981527732
5576,20170727,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,35.39014152563588,37.66642797678305,35.63465311373864
5629,20170728,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,35.18056016440494,35.64629652269592,34.86618812255853
5739,20170729,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,30.325258629221462,30.95982441739293,29.79548352166548
5816,20170730,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,34.112277392575,35.11069971066129,35.876253849602094
5934,20170731,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,35.61427714806341,37.08425752891932,37.713001612612146
6060,20170801,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,35.62592055702069,36.46424600194445,37.031862188611576
6169,20170802,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,31.690448329461894,41.14780725500813,40.45502442205029
6227,20170803,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,31.04714998457248,40.60347788625554,36.80772656618405
6318,20170804,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,30.118588120229845,38.02155194997992,35.78892828242253
6412,20170805,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,29.61501068282772,35.68122674956774,35.96940112126028
6471,20170806,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,30.22337880084532,35.84714532720891,34.05406034778863
6643,20170807,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,31.45758015031641,37.643141158868495,35.13689738081516
6751,20170808,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,37.887652746971256,56.14742884421703,51.024328903016226
6824,20170809,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,38.696869669501844,60.58938936141725,52.243975991290725
6860,20170810,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,40.74319879374284,66.8651867893882,58.67987029242422
7033,20170811,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,42.35581093432536,78.88118483329549,58.67987029242422
7061,20170812,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,42.77788450902656,73.73479807418015,56.138696287499066
7185,20170813,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,45.06581436913101,77.661537745021,54.30194852448901
7273,20170814,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,43.924760291318094,76.21193332984032,49.845433746092176
7438,20170815,58a33c947775af5de36841c9f553317d,9c113e65484f4d502713a851a4995be6,58a33c947775af5de36841c9f553317d9c113e65484f4d502713a851a4995be6,42.53046206868447,62.68229212148734,41.7212451461539
