,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
35,20170601,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,111.837853886861,200.88955644433585,199.98428139790767
108,20170602,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,113.04003586169961,193.30387550867147,188.50388016603503
267,20170603,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,108.71450943407213,194.3517823148261,195.00963492091216
384,20170604,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,112.2424623481263,198.4415297110688,197.53043296016207
437,20170605,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,116.2245082115142,210.46043860721542,205.99810212434
506,20170606,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,112.9003149542123,201.81520745643908,198.22903749759857
602,20170607,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,107.44246700548989,193.06809647728664,191.27210064562703
717,20170608,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,111.43324542559573,208.73139237706016,204.05947453295377
808,20170609,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,116.88527166983951,212.21277165528525,204.2748775986633
972,20170610,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,111.25277258675794,195.2890767358868,196.17688666887886
1073,20170611,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,106.76132758148931,190.96646116049857,192.44226324583312
1133,20170612,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,104.10954119147007,187.5200121091453,187.87513608234215
1212,20170613,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,106.09183156644606,186.45464018955468,184.24821419215118
1297,20170614,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,101.44902224473282,183.02274539939805,182.5453656321497
1417,20170615,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,111.55841207188641,200.324851109908,198.9538397051889
1483,20170616,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,108.15562580412292,196.08956110169936,191.0304999097636
1615,20170617,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,108.26623818921705,200.60429292488254,197.04432063619592
1723,20170618,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,110.36496265376577,205.6517107078611,203.6053815836201
1789,20170619,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,107.74810649061831,194.22661566853543,194.69817373130508
1917,20170620,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,105.99577344254853,192.81194148022655,190.25912406634416
1999,20170621,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,107.98388552200312,197.69635153780328,193.97919322819337
2133,20170622,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,110.23979600747506,205.4188425287156,200.54607588009617
2213,20170623,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,109.54119147003858,194.29065441780045,189.3946009512665
2262,20170624,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,107.53270342490877,196.51745638087917,195.00963492091216
2414,20170625,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,109.46259845957701,199.70483958293312,198.3280064737354
2544,20170626,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,107.34058717711372,196.2845882017337,192.60527097123497
2605,20170627,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,108.89498227290987,198.1562661916156,195.62964644788704
2652,20170628,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,104.5694558452824,200.9623277503188,196.36027035995602
2765,20170629,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,107.83834291003721,229.5643618538636,212.94630641959355
2896,20170630,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,108.79310244453372,224.92155253215043,208.61204743524812
2940,20170701,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,110.70844321800536,213.54303112865387,209.37469072194958
3093,20170702,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,140.413690320252,432.3925458895856,438.60721542053085
3182,20170703,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,128.24341710766078,315.7954485914386,333.51962787664974
3245,20170704,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,126.34554144762505,304.6672604805235,316.0894446676098
3421,20170705,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,122.14227081404894,289.5919567330924,296.60128892537165
3498,20170706,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,137.31363268537763,321.08155625804125,327.593132717397
3579,20170707,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,123.92371238451193,257.15633023036486,267.02703017389445
3648,20170708,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,120.20073237042344,247.34093647938246,261.46148069231714
3805,20170709,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,119.09460851948236,247.59126977196385,260.3466242846581
3903,20170710,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,127.50114978663454,273.9548585034727,287.5543601655693
3970,20170711,58a33c947775af5de36841c9f553317d,f0d02fabfe4070a5ce6ab74320978d81,58a33c947775af5de36841c9f553317df0d02fabfe4070a5ce6ab74320978d81,122.50030563948513,266.5525612588854,276.926838639817
