,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
24,20170601,a20d041605db832309e26c003c626719,01c2fa70527b0c72808f3bc27eaad4c9,a20d041605db832309e26c003c62671901c2fa70527b0c72808f3bc27eaad4c9,1237.796251986657,1847.7857147015507,1876.361551134941
137,20170602,a20d041605db832309e26c003c626719,01c2fa70527b0c72808f3bc27eaad4c9,a20d041605db832309e26c003c62671901c2fa70527b0c72808f3bc27eaad4c9,1111.4186911643992,1606.7409516158145,1592.1110082609991
237,20170603,a20d041605db832309e26c003c626719,01c2fa70527b0c72808f3bc27eaad4c9,a20d041605db832309e26c003c62671901c2fa70527b0c72808f3bc27eaad4c9,1065.2845940234383,1533.0381729162664,1502.7187359915238
342,20170604,a20d041605db832309e26c003c626719,01c2fa70527b0c72808f3bc27eaad4c9,a20d041605db832309e26c003c62671901c2fa70527b0c72808f3bc27eaad4c9,1246.1620413224584,1748.569316124375,1728.3941992536575
454,20170605,a20d041605db832309e26c003c626719,01c2fa70527b0c72808f3bc27eaad4c9,a20d041605db832309e26c003c62671901c2fa70527b0c72808f3bc27eaad4c9,1050.4625344208278,1489.2647769413932,1630.8777383842444
542,20170606,a20d041605db832309e26c003c626719,01c2fa70527b0c72808f3bc27eaad4c9,a20d041605db832309e26c003c62671901c2fa70527b0c72808f3bc27eaad4c9,1180.4990365079088,1664.6581786215368,1734.4720587293548
677,20170607,a20d041605db832309e26c003c626719,01c2fa70527b0c72808f3bc27eaad4c9,a20d041605db832309e26c003c62671901c2fa70527b0c72808f3bc27eaad4c9,1199.7659674799588,1744.8172275878933,1801.345978075461
733,20170608,a20d041605db832309e26c003c626719,01c2fa70527b0c72808f3bc27eaad4c9,a20d041605db832309e26c003c62671901c2fa70527b0c72808f3bc27eaad4c9,1035.5473275465592,1806.6204423331064,1692.1162477950295
786,20170609,a20d041605db832309e26c003c626719,01c2fa70527b0c72808f3bc27eaad4c9,a20d041605db832309e26c003c62671901c2fa70527b0c72808f3bc27eaad4c9,927.4615621961801,1411.7633360695347,1477.9532051394006
969,20170610,a20d041605db832309e26c003c626719,01c2fa70527b0c72808f3bc27eaad4c9,a20d041605db832309e26c003c62671901c2fa70527b0c72808f3bc27eaad4c9,892.6244825960146,1258.4429269201435,1207.3225398932302
1069,20170611,a20d041605db832309e26c003c626719,01c2fa70527b0c72808f3bc27eaad4c9,a20d041605db832309e26c003c62671901c2fa70527b0c72808f3bc27eaad4c9,1259.0716710038366,1834.2589843454366,1820.9534787595114
1163,20170612,a20d041605db832309e26c003c626719,01c2fa70527b0c72808f3bc27eaad4c9,a20d041605db832309e26c003c62671901c2fa70527b0c72808f3bc27eaad4c9,1279.7445436074777,1829.729698261057,1827.8434660099786
1216,20170613,a20d041605db832309e26c003c626719,01c2fa70527b0c72808f3bc27eaad4c9,a20d041605db832309e26c003c62671901c2fa70527b0c72808f3bc27eaad4c9,1120.4685307764407,1790.9425921721365,1787.5456276088516
1315,20170614,a20d041605db832309e26c003c626719,01c2fa70527b0c72808f3bc27eaad4c9,a20d041605db832309e26c003c62671901c2fa70527b0c72808f3bc27eaad4c9,1123.1523365410926,1792.7298554470779,1804.0909117371384
1463,20170615,a20d041605db832309e26c003c626719,01c2fa70527b0c72808f3bc27eaad4c9,a20d041605db832309e26c003c62671901c2fa70527b0c72808f3bc27eaad4c9,1103.9669094317437,1879.729407175833,1895.7158076741712
