,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
19,20170601,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,402.0323570334923,1056.228932706918,1065.1536056726688
130,20170602,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,375.1331714899488,880.7365620506372,898.4869390060022
228,20170603,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,359.7260305872354,832.2504963003067,841.451700228793
303,20170604,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,388.1446809997032,975.0510854567999,969.7038498931717
473,20170605,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,393.34637395136565,1012.4584475842836,938.4966030354367
498,20170606,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,405.7378719341449,1020.1634734617604,978.733313539538
634,20170607,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,400.8563727288076,1025.3098602208756,988.9998893876152
693,20170608,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,364.0282701969483,993.0576174092253,1053.908983472181
836,20170609,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,345.2765600712578,902.4602523126724,834.0639572454022
944,20170610,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,257.57840380506605,511.9839786692749,651.4720179774234
987,20170611,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,381.4031472134412,1001.0828370330266,997.3918763935706
1165,20170612,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,386.2322510784708,1000.4540929493338,998.372833598221
1201,20170613,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,341.1577041526218,995.9917564664585,995.7297797649196
1338,20170614,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,345.8354437012069,1006.3602121429112,1000.081503862701
1455,20170615,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,340.05449115392014,1034.3917192075496,1036.0188856093291
1515,20170616,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,316.85790965878994,859.3156004214917,855.3219111491462
1623,20170617,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,309.01316287382616,830.9202368269383,834.7509183738815
1710,20170618,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,336.2616506860879,988.3536801904864,980.0781272741034
1856,20170619,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,346.2400521624721,1003.46100331255,971.9626712308832
1933,20170620,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,331.5256940927165,999.7962403432476,981.4462278265833
2026,20170621,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,335.9443677920022,992.434695030011,976.5880154391604
2091,20170622,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,341.0762002899209,1044.8620547123787,1051.9179605404872
2169,20170623,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,326.6412840351398,891.0468006823038,878.9958724115248
2305,20170624,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,310.0901782023741,833.9184146334364,843.2709828783674
2378,20170625,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,276.5367844397483,863.120084298281,945.5990824993744
2486,20170626,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,194.715638844741,788.3257360089888,612.6645359228276
2609,20170627,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,347.62270697614855,1011.6958042975824,1005.0707046008932
2695,20170628,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,340.9044600078011,1002.6081236064296,999.6798062536748
2828,20170629,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,334.5558912738472,1030.8142818054268,1025.123565677559
2866,20170630,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,310.89357342042604,840.7647391003137,821.1193973371526
3027,20170701,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,312.2151003370767,796.5110525059528,797.3144477240048
3108,20170702,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,296.0860680790122,809.3973953694164,795.1633279191483
3184,20170703,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,312.6488173207352,916.6186376047181,966.2544899895793
3237,20170704,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,339.5421811598,981.7344021982756,972.8301051982
3345,20170705,a20d041605db832309e26c003c626719,31c828ecfa4feeb7c409ee38c8155da0,a20d041605db832309e26c003c62671931c828ecfa4feeb7c409ee38c8155da0,336.82635602051573,965.4947575551172,951.2723335138063
