,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
12,20170601,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,249.11946719760613,232.33549318569493,204.2341256673129
164,20170602,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,251.79454040554,218.19748385932442,195.41424338217743
221,20170603,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,238.33767050317002,189.9738605468909,223.026587724354
309,20170604,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,241.67641802166838,189.6856861751984,200.5198782099424
463,20170605,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,217.72592579655472,177.6085602342654,176.00468065040084
560,20170606,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,234.87375633838082,183.98332663837317,181.90788899173901
665,20170607,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,229.4159083896584,188.21570579434243,184.0619196488348
782,20170608,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,216.3665578007929,210.4895471296086,183.6340243696549
788,20170609,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,208.51598931135052,198.60453743647068,177.0787851267094
900,20170610,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,202.97372664768795,140.97548480244046,178.1354244895821
988,20170611,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,232.59164818275497,190.66664337984886,193.69101885650082
1174,20170612,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,231.85229171396804,188.32340732719726,185.5901170744771
1252,20170613,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,170.826274516653,169.5134801567203,165.8894691187686
1298,20170614,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,174.63366924568177,172.43015410051757,167.07418598017128
1456,20170615,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,179.25901345395906,205.8234509899809,179.86447071973737
1548,20170616,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,179.8790249809339,195.6180030389297,175.0295451502291
1575,20170617,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,174.06896391125397,167.03343404882082,192.48883688166225
1702,20170618,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,177.00310296848713,172.90171216328721,174.84033975467338
1782,20170619,a20d041605db832309e26c003c626719,44dd3778adc48ab269c10f2f1a71b3da,a20d041605db832309e26c003c62671944dd3778adc48ab269c10f2f1a71b3da,170.26156918222514,169.95010799261811,166.97230615179512
