,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
97,20170601,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,242.412863638216,275.34333502162764,271.20410313731657
131,20170602,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,229.27327662993173,256.87106671091163,256.7604543258176
214,20170603,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,216.9341739874601,245.7923630880649,255.5553614987396
320,20170604,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,236.18655069831348,247.6116457376391,254.22219117313168
429,20170605,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,198.46481652898342,198.9305528872744,218.52058845788872
494,20170606,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,224.8342269649708,229.24416810753854,241.71134824854028
601,20170607,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,220.13611145071056,233.3077178336273,244.9074640073121
713,20170608,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,190.94899604706268,238.4395503315461,209.81422941008668
830,20170609,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,173.50134772458682,190.0786512275064,202.298408928166
959,20170610,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,175.12560327412658,194.5468094148605,191.4671277456614
1053,20170611,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,227.22403665345144,239.6504648631026,241.19030569770214
1164,20170612,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,226.51087785481843,239.01298822269183,238.46283714946065
1210,20170613,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,216.87013523819505,238.33184879869134,234.54483003533767
1304,20170614,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,220.03714247457367,241.27180956040309,240.67799570358213
1377,20170615,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,220.83471598814705,260.3495351368974,250.66804058892362
1484,20170616,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,207.6310902305977,243.17259607267812,236.55913978494632
1627,20170617,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,205.8030750243056,235.7557445668943,244.3020067415338
1746,20170618,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,224.44999446938075,245.7807196791077,248.33644794522945
1794,20170619,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,218.20330556380299,233.49401237694372,236.86769012231403
1927,20170620,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,224.5809828201501,246.9246846091599,246.55500637476644
2001,20170621,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,229.31402856128216,251.17161802632577,251.5412962607193
2106,20170622,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,227.1599979041864,271.8677774478812,264.9952553108499
2229,20170623,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,214.54145344674012,252.78423016690832,248.9098858363752
2343,20170624,a20d041605db832309e26c003c626719,6ebca9d3153de7a6bbad61456d7071c8,a20d041605db832309e26c003c6267196ebca9d3153de7a6bbad61456d7071c8,201.22430445185745,234.38473316217525,242.63991011288292
