,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
14,20170601,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,155.7829901438543,94.67546908383837,77.00077428669566
128,20170602,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,166.0233683217773,92.4282911550844,77.74595245996123
225,20170603,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,156.35060633052146,74.17433676231728,102.75017319570824
305,20170604,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,154.1383586286393,70.8792520274086,78.82878949298777
477,20170605,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,133.15111398315202,57.675626269859286,65.73577612053258
503,20170606,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,144.63151521502468,68.20417881947478,70.04674828696346
599,20170607,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,140.28270196948264,67.08350070733711,68.53019427027846
760,20170608,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,129.12540533617434,83.12520739822206,60.691269189793395
827,20170609,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,131.49774991121902,73.23704234125668,68.1459617746884
955,20170610,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,132.30696683374958,60.2866607285281,77.70228967637145
992,20170611,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,143.94746493878478,67.91891530002154,75.90920469695119
1158,20170612,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,146.2557707645645,68.41958188518434,70.9578450378702
1245,20170613,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,99.39978226825251,53.35592154671046,52.817413882436504
1283,20170614,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,103.38473898387971,54.287394263292406,53.04737120934268
1441,20170615,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,105.84731997834326,70.81230242590426,55.894184699396284
1477,20170616,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,112.93233432884479,68.71939966583417,56.68593650849096
1608,20170617,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,107.96350955632792,52.179937242025716,72.08725570672583
1674,20170618,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,105.16035884986408,53.20746808250521,57.73384331464568
1805,20170619,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,101.51597184623716,50.025906584929935,51.89758457481182
1893,20170620,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,100.13622788480015,52.91638285857334,52.44482479580372
2049,20170621,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,102.20002212247702,54.76477403054066,54.09236716325807
2141,20170622,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,107.617118139849,70.95493418563088,57.486420874303576
2160,20170623,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,114.27132635893138,67.76464013133766,58.837056313347425
2340,20170624,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,107.99261807872108,54.74730891710474,73.0827671725728
2389,20170625,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,104.25217295119666,52.70971234958171,58.918560176048345
2497,20170626,a20d041605db832309e26c003c626719,795453e682dccb93c5268d53a8c26222,a20d041605db832309e26c003c626719795453e682dccb93c5268d53a8c26222,89.1011870455432,47.79037206513322,39.750598180135185
