,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
68,20170601,a20d041605db832309e26c003c626719,879c99a1536ce81df8e84c0c9cf6ff68,a20d041605db832309e26c003c626719879c99a1536ce81df8e84c0c9cf6ff68,1608.8571411937992,2852.2596945933838,2865.291580068813
158,20170602,a20d041605db832309e26c003c626719,879c99a1536ce81df8e84c0c9cf6ff68,a20d041605db832309e26c003c626719879c99a1536ce81df8e84c0c9cf6ff68,1426.081818234743,2414.621792968545,2445.893078575545
283,20170603,a20d041605db832309e26c003c626719,879c99a1536ce81df8e84c0c9cf6ff68,a20d041605db832309e26c003c626719879c99a1536ce81df8e84c0c9cf6ff68,1350.2832259228858,2329.0834890639285,2292.715301185881
319,20170604,a20d041605db832309e26c003c626719,879c99a1536ce81df8e84c0c9cf6ff68,a20d041605db832309e26c003c626719879c99a1536ce81df8e84c0c9cf6ff68,1586.1059200912846,2607.6695134801566,2597.3418097350545
392,20170605,a20d041605db832309e26c003c626719,879c99a1536ce81df8e84c0c9cf6ff68,a20d041605db832309e26c003c626719879c99a1536ce81df8e84c0c9cf6ff68,1383.2864686122805,2300.999586658982,2343.2418743559742
528,20170606,a20d041605db832309e26c003c626719,879c99a1536ce81df8e84c0c9cf6ff68,a20d041605db832309e26c003c626719879c99a1536ce81df8e84c0c9cf6ff68,1549.7843058490664,2541.6135436132995,2549.932759313272
626,20170607,a20d041605db832309e26c003c626719,879c99a1536ce81df8e84c0c9cf6ff68,a20d041605db832309e26c003c626719879c99a1536ce81df8e84c0c9cf6ff68,1576.9600223553452,2623.530747332204,2628.851785225679
696,20170608,a20d041605db832309e26c003c626719,879c99a1536ce81df8e84c0c9cf6ff68,a20d041605db832309e26c003c626719879c99a1536ce81df8e84c0c9cf6ff68,1387.0851307845915,2578.3834291003727,2537.014397075176
863,20170609,a20d041605db832309e26c003c626719,879c99a1536ce81df8e84c0c9cf6ff68,a20d041605db832309e26c003c626719879c99a1536ce81df8e84c0c9cf6ff68,1212.1749305761741,2065.4912645324303,2096.0930541243865
943,20170610,a20d041605db832309e26c003c626719,879c99a1536ce81df8e84c0c9cf6ff68,a20d041605db832309e26c003c626719879c99a1536ce81df8e84c0c9cf6ff68,1195.5685185508614,1975.1849846598086,1944.099993596125
1015,20170611,a20d041605db832309e26c003c626719,879c99a1536ce81df8e84c0c9cf6ff68,a20d041605db832309e26c003c626719879c99a1536ce81df8e84c0c9cf6ff68,1630.5575446379196,2655.7073079856327,2636.19295457324
