,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
22,20170601,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1173.0065028439028,1960.3978552840701,1978.6227011544445
134,20170602,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1064.6995127233354,1686.876713764256,1693.5076351654238
236,20170603,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1015.9602028281842,1688.7425700496592,1675.8620488906745
312,20170604,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1135.9367995761802,1802.021295794983,1785.5138527458068
456,20170605,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,990.726024765531,1523.6739612623785,1579.4924638035525
556,20170606,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1102.2000221224769,1695.0591194089807,1708.4839699367185
648,20170607,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1106.3363431545488,1719.6121580476333,1737.3334264806049
742,20170608,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,976.2445348749208,1740.0550733243679,1693.4144878937655
807,20170609,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,866.5578007929163,1385.556933358949,1448.0878611639914
967,20170610,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,862.6601696444687,1353.6277951458628,1327.628062944269
981,20170611,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1138.2014426183698,1792.8724872068044,1777.6545516996466
1146,20170612,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1160.3122762282342,1755.0692491747736,1755.9133963241761
1204,20170613,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1086.0797224211308,1694.963061285083,1687.918798865932
1321,20170614,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1100.4709758923218,1722.5783164794989,1719.0387201564874
1442,20170615,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1086.9908191720372,1844.703122180112,1848.667702930064
1524,20170616,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1005.9788904995604,1630.3246764587734,1623.967375168102
1595,20170617,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,981.7314913460364,1644.168689708973,1631.8324979187412
1752,20170618,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1099.9935961250737,1760.6901048488978,1712.1283569403452
1802,20170619,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1079.614719597604,1658.5861408503185,1709.1214465771286
1898,20170620,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1091.566678892246,1759.0716710038364,1752.1496643787368
2037,20170621,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1107.3434980293532,1785.8456899010894,1784.7482986068662
2092,20170622,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1096.0319262273606,1913.2333164503907,1927.8923683275991
2183,20170623,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1011.7074477065396,1673.8564716977835,1678.732149198643
2316,20170624,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,964.0160446175432,1658.7462377234808,1640.3496515709871
2390,20170625,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1065.3806521473357,1739.8833330422485,1742.9426387457725
2474,20170626,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,966.4844473164854,1576.5321270761656,1480.9455612414206
2601,20170627,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1103.6350722764612,1798.0538041927914,1802.862532092146
2702,20170628,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1090.9874192966215,1812.870042090924,1814.6136425822754
2835,20170629,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1048.308503763732,1967.3431487270846,1996.958159409912
2868,20170630,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,936.7850219187177,1706.2338811557252,1722.322161482439
3024,20170701,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,957.801375086598,1512.5079320723526,1530.5290182859742
3106,20170702,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,907.1787437926075,1674.5783630531348,1632.4699745591515
3188,20170703,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,873.8523965046487,1553.3239021720779,1480.8145728906507
3312,20170704,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1100.8493866834333,1749.44548264841,1736.0730274609805
3340,20170705,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1080.5549248709037,1682.027233933551,1668.4772167595233
3473,20170706,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,984.5346420525003,1522.9957326906174,1569.9652444242627
3528,20170707,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,935.9903592573836,1462.5809944635596,1464.653521257954
3654,20170708,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,893.5937963917078,1399.0341792269946,1390.7236960837397
3804,20170709,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1069.4878646570144,1606.7991686606006,1592.2623725774433
3871,20170710,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1119.2867247672777,1762.8907091418228,1761.4381938744027
3925,20170711,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1145.5367902614528,1817.015095679713,1805.2203224059945
4087,20170712,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1148.5960959649767,1810.7480308084605,1802.2075903382995
4192,20170713,a20d041605db832309e26c003c626719,92bdba0a29391ec9e91966056ad4eb35,a20d041605db832309e26c003c62671992bdba0a29391ec9e91966056ad4eb35,1146.8437629169068,1968.423074907872,1971.953938674165
