,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
65,20170601,a20d041605db832309e26c003c626719,af89ee17bb9525a75ae9ae9ffef3ea80,a20d041605db832309e26c003c626719af89ee17bb9525a75ae9ae9ffef3ea80,586.4901525868744,1958.6891850195905,1982.8958322417639
152,20170602,a20d041605db832309e26c003c626719,af89ee17bb9525a75ae9ae9ffef3ea80,a20d041605db832309e26c003c626719af89ee17bb9525a75ae9ae9ffef3ea80,513.384098596387,1573.714422108505,1601.8681849671948
250,20170603,a20d041605db832309e26c003c626719,af89ee17bb9525a75ae9ae9ffef3ea80,a20d041605db832309e26c003c626719af89ee17bb9525a75ae9ae9ffef3ea80,490.0710830116842,1492.062105943378,1448.183919287889
345,20170604,a20d041605db832309e26c003c626719,af89ee17bb9525a75ae9ae9ffef3ea80,a20d041605db832309e26c003c626719af89ee17bb9525a75ae9ae9ffef3ea80,598.9398676144402,1822.100354541803,1819.7018122966047
436,20170605,a20d041605db832309e26c003c626719,af89ee17bb9525a75ae9ae9ffef3ea80,a20d041605db832309e26c003c626719af89ee17bb9525a75ae9ae9ffef3ea80,537.7683078051592,1724.8313161127317,1618.404736538764
539,20170606,a20d041605db832309e26c003c626719,af89ee17bb9525a75ae9ae9ffef3ea80,a20d041605db832309e26c003c626719af89ee17bb9525a75ae9ae9ffef3ea80,596.9139144558744,1854.96387632371,1843.9521223023678
611,20170607,a20d041605db832309e26c003c626719,af89ee17bb9525a75ae9ae9ffef3ea80,a20d041605db832309e26c003c626719af89ee17bb9525a75ae9ae9ffef3ea80,602.5638786523917,1891.3902812465435,1863.1462819684348
747,20170608,a20d041605db832309e26c003c626719,af89ee17bb9525a75ae9ae9ffef3ea80,a20d041605db832309e26c003c626719af89ee17bb9525a75ae9ae9ffef3ea80,521.2433996425474,1749.4425717961703,1899.7182295032346
815,20170609,a20d041605db832309e26c003c626719,af89ee17bb9525a75ae9ae9ffef3ea80,a20d041605db832309e26c003c626719af89ee17bb9525a75ae9ae9ffef3ea80,433.73444877191145,1396.4959160743085,1354.4632097385474
936,20170610,a20d041605db832309e26c003c626719,af89ee17bb9525a75ae9ae9ffef3ea80,a20d041605db832309e26c003c626719af89ee17bb9525a75ae9ae9ffef3ea80,417.65199014967607,1211.0920935431475,1196.2787664972552
1008,20170611,a20d041605db832309e26c003c626719,af89ee17bb9525a75ae9ae9ffef3ea80,a20d041605db832309e26c003c626719af89ee17bb9525a75ae9ae9ffef3ea80,606.7322190590962,1852.6468379412129,1851.9365899948184
1157,20170612,a20d041605db832309e26c003c626719,af89ee17bb9525a75ae9ae9ffef3ea80,a20d041605db832309e26c003c626719af89ee17bb9525a75ae9ae9ffef3ea80,618.4222016521998,1900.7632254571488,1905.1818991564346
1192,20170613,a20d041605db832309e26c003c626719,af89ee17bb9525a75ae9ae9ffef3ea80,a20d041605db832309e26c003c626719af89ee17bb9525a75ae9ae9ffef3ea80,546.2650854917304,1792.9423476605484,1798.3303351555267
1335,20170614,a20d041605db832309e26c003c626719,af89ee17bb9525a75ae9ae9ffef3ea80,a20d041605db832309e26c003c626719af89ee17bb9525a75ae9ae9ffef3ea80,552.610743373445,1817.4284366976965,1819.8531766130486
