,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
10,20170601,a20d041605db832309e26c003c626719,b81ef102d38eccfabf7c776fb8d86f5f,a20d041605db832309e26c003c626719b81ef102d38eccfabf7c776fb8d86f5f,409.0038481466604,984.2377351240897,985.4777581780395
162,20170602,a20d041605db832309e26c003c626719,b81ef102d38eccfabf7c776fb8d86f5f,a20d041605db832309e26c003c626719b81ef102d38eccfabf7c776fb8d86f5f,350.91197000657854,806.3264462569351,835.1351508694718
220,20170603,a20d041605db832309e26c003c626719,b81ef102d38eccfabf7c776fb8d86f5f,a20d041605db832309e26c003c626719b81ef102d38eccfabf7c776fb8d86f5f,320.5576028549639,745.8796886552444,769.7632312788539
391,20170604,a20d041605db832309e26c003c626719,b81ef102d38eccfabf7c776fb8d86f5f,a20d041605db832309e26c003c626719b81ef102d38eccfabf7c776fb8d86f5f,375.6163729616757,879.6129730862602,889.1751226924222
465,20170605,a20d041605db832309e26c003c626719,b81ef102d38eccfabf7c776fb8d86f5f,a20d041605db832309e26c003c626719b81ef102d38eccfabf7c776fb8d86f5f,401.307554825902,929.6243254099936,855.6304614865138
520,20170606,a20d041605db832309e26c003c626719,b81ef102d38eccfabf7c776fb8d86f5f,a20d041605db832309e26c003c626719b81ef102d38eccfabf7c776fb8d86f5f,405.455519266931,928.6462790575824,893.733517299195
644,20170607,a20d041605db832309e26c003c626719,b81ef102d38eccfabf7c776fb8d86f5f,a20d041605db832309e26c003c626719b81ef102d38eccfabf7c776fb8d86f5f,397.48851668791593,940.9155212463106,904.9664960907255
764,20170608,a20d041605db832309e26c003c626719,b81ef102d38eccfabf7c776fb8d86f5f,a20d041605db832309e26c003c626719b81ef102d38eccfabf7c776fb8d86f5f,360.6109296679882,920.6618113651317,990.3679899400947
849,20170609,a20d041605db832309e26c003c626719,b81ef102d38eccfabf7c776fb8d86f5f,a20d041605db832309e26c003c626719b81ef102d38eccfabf7c776fb8d86f5f,321.5734902864861,843.7221649754616,748.2141921511778
912,20170610,a20d041605db832309e26c003c626719,b81ef102d38eccfabf7c776fb8d86f5f,a20d041605db832309e26c003c626719b81ef102d38eccfabf7c776fb8d86f5f,198.3367390304533,434.28168899290336,626.4386887192832
