,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
87,20170601,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,650.179599583166,981.0794604444293,950.923031245088
140,20170602,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,626.8811382596597,894.4495869500673,872.612373450699
201,20170603,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,600.5903208341339,903.4965157098696,926.5737522631875
328,20170604,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,639.8810043604568,864.994673140402,870.621350519005
482,20170605,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,551.0330614597342,686.2275937148878,721.6672197285923
493,20170606,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,625.7459058863254,725.2097269038429,736.931728871579
678,20170607,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,614.6788456724362,725.410575708356,733.587159648602
709,20170608,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,548.9518021086216,835.6678368292668,778.0708035698692
798,20170609,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,501.00715487480426,710.6467331505319,737.1762404596817
964,20170610,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,511.56772679905225,725.2970524710225,737.2199032432718
1055,20170611,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,621.5746546273817,834.1978564484109,841.8912389169302
1172,20170612,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,627.0354134283436,806.4225043808328,802.0969779532053
1186,20170613,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,607.9198467727383,794.4065063369252,787.5630927222873
1369,20170614,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,613.1652025079902,800.3417340528961,795.471878256516
1381,20170615,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,621.1380267914841,930.5994609101654,898.1725669641559
1561,20170616,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,596.0115502616857,851.0109389827153,831.703256079315
1569,20170617,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,577.003685138935,868.0743548096012,888.1213941817888
1721,20170618,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,619.7029766375,840.2262314360399,838.5437588417137
1814,20170619,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,596.5908098573101,785.6244651309012,797.553137607629
1902,20170620,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,611.7185089450489,817.314913460363,812.2209220415554
1990,20170621,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,618.9228682373625,832.3028916406146,826.5714235813962
2103,20170622,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,622.9049141007505,945.3138189799208,915.166122337298
2243,20170623,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,601.7255532074681,856.1165738104802,837.4434566952513
2310,20170624,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,576.9018053105589,851.0633343230231,872.5075827700833
2399,20170625,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,612.842097909426,826.2861600619431,835.6998562038997
2468,20170626,a20d041605db832309e26c003c626719,c7b19f9b6489f5d2a1a41fd3078ae18c,a20d041605db832309e26c003c626719c7b19f9b6489f5d2a1a41fd3078ae18c,578.8142352317913,764.6284879286957,713.790453568996
