,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
76,20170601,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1154.2518818659728,1900.5158030168075,1859.257383376705
124,20170602,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1055.3149251037719,1607.2765484278489,1575.6093869163017
247,20170603,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1011.3348586199068,1571.1121202065542,1577.3704525210892
333,20170604,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1150.680266168329,1762.5705153954975,1747.3409364793827
478,20170605,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,969.3225282498213,1452.1223023676873,1552.0867899703674
536,20170606,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1083.0204167176066,1638.9990161319433,1678.40031204336
662,20170607,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1079.2508630676891,1664.7746127111095,1696.0691851360245
727,20170608,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,937.5360217964617,1718.0082784637686,1582.9098043325125
868,20170609,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,819.0992658830652,1314.8901735450106,1391.334975053997
896,20170610,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,834.1483719603426,1282.2624307944882,1262.7131471552245
1058,20170611,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1123.1319605754177,1749.6667074185987,1728.5339201611448
1167,20170612,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1149.722595781593,1740.8846662125738,1715.487480424519
1189,20170613,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1141.3800932637062,1725.8879554756045,1699.9231535008819
1326,20170614,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1155.7829901438545,1751.3870210920354,1730.8800670660355
1462,20170615,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1139.252260276764,1872.7200749835536,1835.8424879636261
1559,20170616,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1037.055149006526,1624.5582781726835,1568.0877447299026
1617,20170617,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1022.2360002561552,1590.0559465800393,1584.7145327208902
1690,20170618,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1173.5071694290655,1776.0332070023462,1701.1398897369172
1774,20170619,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1141.327697923398,1633.0259473368615,1728.717303852222
1952,20170620,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1150.2814794115425,1818.7586961710647,1782.0994230690862
1975,20170621,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1174.424087884451,1833.8398216229748,1804.3412450297199
2102,20170622,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1169.528034417917,1945.3341949455967,1910.526223867824
2242,20170623,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1063.8437221649756,1685.6774426416569,1651.6204714416288
2322,20170624,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1017.2351561090056,1616.2536167339074,1617.2898801311048
2400,20170625,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1148.697975793353,1791.999231535009,1790.0140303077935
2502,20170626,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1073.6940461428298,1643.8863370417596,1526.5091313434748
2555,20170627,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1167.0247014921028,1835.2777826291986,1809.825290648596
2711,20170628,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1151.1372699699018,1840.3252004121769,1817.192657666312
2808,20170629,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1097.2952360992253,1977.4088757706488,1931.088484086371
2874,20170630,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,987.3407036112033,1708.64697766212,1642.9373992117416
3012,20170701,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1021.8546786128044,1493.4243847913795,1518.6789388197076
3102,20170702,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,969.0110670602139,1538.303904617194,1591.5404812220922
3151,20170703,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,915.0234905775716,1551.8917628703332,1455.6880963608523
3298,20170704,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1150.0573437891146,1797.579335277783,1760.0962909920768
3356,20170705,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1150.5696537832348,1787.676615959621,1745.9815684836205
3479,20170706,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1060.2604630583744,1615.9217795786249,1632.781435748759
3622,20170707,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,981.7722432773868,1488.7844863219054,1451.4062327168149
3715,20170708,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,931.2020073237044,1370.740695460817,1373.328443101571
3731,20170709,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1078.9423127303212,1600.6951115147494,1599.8800728877402
3833,20170710,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1117.2753258699086,1760.3873762160085,1748.1326882884769
3949,20170711,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1142.1107171757747,1818.3977504933896,1780.387841952367
4072,20170712,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1152.9274440970828,1806.687391934611,1780.2568536015976
4180,20170713,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1157.3635829098046,1949.610236885156,1915.0002037596566
4263,20170714,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1041.1216095848542,1646.9107125184112,1610.5075944134924
4359,20170715,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1000.1222557940516,1562.4319588289059,1559.5589476686985
4471,20170716,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1168.0231238101892,1835.9036158606518,1814.0489372478478
4545,20170717,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1174.7675684486906,1851.3369544335196,1821.6841026715808
4636,20170718,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1171.7519255287566,1841.6496381810668,1819.3350449144505
4730,20170719,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1169.0593872073864,1847.1045752775492,1822.295381641837
4873,20170720,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1154.016102834588,1943.9952029155097,1912.3833475965093
4932,20170721,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1044.5767911929256,1696.0255223524343,1661.2204621269016
5016,20170722,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,986.3859440767067,1583.2008895564445,1580.1008319215698
5103,20170723,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1081.0730565695026,1623.9382666457086,1649.4897276024476
5288,20170724,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1123.7810806247853,1669.894801800071,1561.7391759959482
5342,20170725,a20d041605db832309e26c003c626719,cc000ec2dd2b1c6571e74cecc641656e,a20d041605db832309e26c003c626719cc000ec2dd2b1c6571e74cecc641656e,1179.9372420257205,1627.3556071746686,1715.1614649737146
