,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
73,20170601,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,423.56102019549286,1781.8112486973935,1801.4303927904016
100,20170602,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,354.3263996832993,1343.8269556560772,1365.8591962554794
262,20170603,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,337.3241117534392,1242.750522497977,1223.2565450512602
336,20170604,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,407.43489878966767,1603.771882331709,1594.1165854538892
418,20170605,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,366.9565875497028,1516.9411600328344,1439.8385059177624
551,20170606,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,416.4468973225982,1655.9925715050854,1614.009349657393
627,20170607,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,446.69065208911866,1732.664419488738,1700.004657363583
753,20170608,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,377.8984811173016,1644.084274994033,1725.6405330352625
864,20170609,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,314.3400224717793,1236.6435544998865,1210.5535858788735
921,20170610,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,314.04893724784745,1111.4332454255955,1091.9916633191867
1004,20170611,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,452.0873721408154,1717.6851738652044,1702.8252731834828
1161,20170612,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,462.4762037829436,1751.392842796514,1748.1006689138446
1235,20170613,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,410.72707267233704,1656.5077923514448,1654.1761997077506
1351,20170614,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,418.0274900885482,1679.8790249809342,1676.1473124101276
1388,20170615,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,397.50889265359115,1753.701148622294,1761.842802335668
1505,20170616,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,350.1376833109198,1354.797957746069,1371.7245635177067
1603,20170617,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,346.27207153710464,1292.7444097082746,1272.8400020958138
1708,20170618,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,416.60990504800003,1673.9991034575103,1662.3586053524753
1825,20170619,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,416.9766724301541,1693.152511192227,1668.8265190282416
1959,20170620,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,423.2641132670824,1717.207794097956,1713.717682263013
2032,20170621,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,425.9071671003837,1729.8467145210775,1727.4336180146827
2147,20170622,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,409.7752239900798,1828.955411565399,1839.7721384867066
2175,20170623,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,363.6702353715122,1426.1313027228116,1432.8757473613125
2320,20170624,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,346.3885056266774,1376.649725506634,1341.6205296586736
2394,20170625,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,395.6139278457947,1672.4621734751502,1641.4907056488
2547,20170626,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,339.6964563284838,1416.9068119764106,1522.0322405994027
2565,20170627,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,421.90474527132056,1727.8789784072985,1726.9882576220666
2658,20170628,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,417.48024986755615,1746.805339667348,1746.2610102985957
2822,20170629,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,383.2136973062974,1795.8153588207556,1811.5688911399482
2931,20170630,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,329.0922216206461,1400.9728068183804,1429.1644107561813
2988,20170701,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,340.00209581361236,1427.1064382229833,1376.4692526677961
3057,20170702,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,309.5836899127327,1314.4331697434375,1329.400771958014
3211,20170703,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,338.08966589237997,1376.914613060412,1427.4586513439403
3250,20170704,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,410.59026261708914,1646.351828888462,1639.0048378364222
3350,20170705,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,412.89274673839003,1656.245815649906,1652.077475243202
3440,20170706,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,354.9988065505819,1504.648631026192,1463.337816045782
3569,20170707,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,325.6457725692929,1236.5998917162967,1235.112446222005
3655,20170708,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,313.99945275977905,1145.5309685569741,1110.8539858299714
3813,20170709,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,404.99851546535797,1572.8615424023847,1530.2757741411526
3914,20170710,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,463.4920912144658,1798.1061995330995,1785.3246473502509
3963,20170711,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,476.7655774257588,1823.389862083821,1826.2599623917893
4022,20170712,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,463.3232617845853,1817.9116381694234,1817.312002608124
4185,20170713,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,424.4866712075962,1860.5410692142448,1878.8037561637293
4264,20170714,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,368.20243230813116,1404.2009419517847,1430.5528872743366
4353,20170715,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,347.37528453580643,1295.6377968341576,1276.9646797189282
4499,20170716,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,435.30921983338277,1740.1307554825905,1729.6604199777612
4522,20170717,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,446.8187295876487,1791.7634525036242,1791.3384680766833
4686,20170718,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,444.01557888118487,1806.0964889300287,1809.109220997724
4773,20170719,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,446.1288576069302,1802.8043150473602,1807.6625274347823
4858,20170720,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,424.8155975106392,1887.5945299264718,1906.8876585686762
4966,20170721,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,374.9788963212649,1472.7660664489351,1492.472536109122
5062,20170722,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,348.97625326743173,1330.4137485372971,1318.284227256056
5100,20170723,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,382.22400754492895,1616.2594384383856,1573.2981702382824
5268,20170724,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,441.20369561800317,1673.3441617036635,1668.8556275506344
5360,20170725,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,469.0809275139576,1806.544760174884,1805.0049193402847
5431,20170726,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,470.9496946516001,1815.545115298857,1813.5453598104446
5523,20170727,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,453.7727555873809,1884.1015072392893,1893.1455251468528
5595,20170728,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,356.03506994777933,1329.345465765467,1303.3428227116335
5766,20170729,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,286.2561200668332,907.5542437314798,889.9319442746448
5864,20170730,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,402.2157407245692,1557.2215333205256,1597.3767399619262
5967,20170731,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,437.9464519622055,1693.5862281758857,1695.3851348597846
6016,20170801,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,436.3018204469905,1709.796764296651,1707.2293926215714
6147,20170802,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,428.7801782605912,1698.8606924335309,1682.5977609724575
6243,20170803,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,374.8304428570597,1615.6976439561975,1542.6148767836248
6304,20170804,a20d041605db832309e26c003c626719,e1e140814a5625e65d9cde93cfa259cd,a20d041605db832309e26c003c626719e1e140814a5625e65d9cde93cfa259cd,343.16037049327304,1332.9316357243076,1346.9066373252765
