,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
27,20170601,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,630.2606377095086,903.8312637173912,890.426789155329
142,20170602,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,600.226464304219,804.2684737237369,790.5001426317598
243,20170603,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,582.0714788875887,771.4486147254194,762.7102363029849
313,20170604,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,633.4538426160411,853.0281595845632,838.7678944641412
448,20170605,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,536.149873960098,705.4101099719977,735.6829732609114
526,20170606,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,601.0444137834677,810.2822944501693,820.6827695012546
684,20170607,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,596.2065773617203,819.9841649638182,826.3181794365755
703,20170608,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,525.1235656775591,807.7993374900302,770.4996768954013
840,20170609,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,483.59443677920024,654.4032461824172,681.0317224677042
902,20170610,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,487.3989206559897,647.7082860319845,604.4501109034702
1066,20170611,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,621.4756856512449,867.0613782303185,857.8601743018321
1170,20170612,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,628.3482077882762,867.9986726513789,859.4203911021069
1191,20170613,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,510.2636649958375,802.7140786279407,796.330579667115
1337,20170614,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,515.5788811848333,805.4095278015496,799.3462225870489
1445,20170615,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,514.8366138638071,850.7140320543048,841.7660722706395
1564,20170616,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,472.949450140012,733.1825511873367,720.1448440074286
1662,20170617,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,463.8006415518336,697.0152121138028,700.3656030412585
1762,20170618,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,512.213935996181,790.5146968929564,776.1263542740044
1791,20170619,a20d041605db832309e26c003c626719,ed9d83c8bc17101ed0fa453c50181e3c,a20d041605db832309e26c003c626719ed9d83c8bc17101ed0fa453c50181e3c,495.28150852006456,748.2840526049217,775.0697149111318
