,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
74,20170601,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2642.407624104185,4120.229840892816,4199.29440941719
156,20170602,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2246.4007312060826,3306.0062525106105,3367.736695949841
287,20170603,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2145.475662364427,3151.469107125185,3066.719644177423
324,20170604,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2571.4439573618365,3871.034691536989,3834.9081043948054
438,20170605,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2299.913838773716,3474.509666940287,3428.9752053606258
535,20170606,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2568.1284966612525,3866.9420332885065,3814.278894574754
614,20170607,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2668.2065075012665,4019.14758603024,3985.579638006416
691,20170608,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2394.717385356085,3836.0287825069427,3887.428611348831
859,20170609,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,1998.9986668296744,2925.546221422708,2991.2499781686083
933,20170610,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2030.6658283412216,2805.691880468764,2619.254705392645
1011,20170611,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2740.124933778112,4088.3152569409276,4045.569391806533
1153,20170612,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2773.2649865227545,4145.469840659949,4127.658335807558
1239,20170613,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2606.1325834977965,4038.725978191895,4022.9957326906183
1347,20170614,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2636.894469962916,4086.3038580435577,4069.726554540639
1401,20170615,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2583.628784835624,4222.095115007773,4257.3513573304
1537,20170616,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2234.291585890517,3419.552776661951,3462.7818432680724
1585,20170617,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2179.9721722525924,3275.9255054694922,3186.2508805328025
1699,20170618,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2606.478974914276,4052.7766619510853,4001.0508176583935
1850,20170619,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2579.082033637809,4043.936403700276,4014.082703133824
1911,20170620,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2648.374871194789,4148.945398233695,4139.939221405243
2005,20170621,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2661.450419453808,4187.618981085282,4179.864470719737
2143,20170622,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2608.484552107166,4322.237164597051,4346.798935792422
2232,20170623,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2295.090556613165,3550.3140809566216,3574.907871526626
2277,20170624,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2192.747902730962,3424.3469503001093,3325.5526252976347
2364,20170625,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2565.779438904123,4053.975933073685,3911.859394193432
2501,20170626,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2429.315775072626,3527.4027629809448,3731.3225166064117
2594,20170627,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2616.535969401121,4140.873604974065,4125.1404486205465
2688,20170628,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2589.7066443113213,4147.321142684155,4151.425444341595
2818,20170629,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2443.8554820080226,4135.508904297,4241.315472343993
2937,20170630,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2050.9399141880763,3185.066163671401,3337.6093752728925
2983,20170701,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2085.212288453813,3321.946079373119,3242.7708984636524
3065,20170702,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,1939.4047889341045,3138.172334095977,2993.313772406285
3221,20170703,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2122.782658306699,3396.289245565317,3319.5475371279204
3322,20170704,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2571.467244179751,3994.888543467757,3942.580528727201
3344,20170705,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2579.413870793091,3995.441605393227,3969.2526677960773
3495,20170706,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2397.407012825215,3658.201908354728,3551.7374877016496
3575,20170707,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2135.7679701462994,3142.762748077382,3124.8144331697445
3667,20170708,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2000.1193449418122,2876.850574311147,2770.482211781966
3762,20170709,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2560.3594320345114,3820.583800525118,3638.652624715464
3881,20170710,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2683.715528232356,4139.004837836422,4118.777325625397
3967,20170711,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2747.3147388092293,4202.6360677879275,4196.101204510656
4091,20170712,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2694.444929586485,4176.164777523563,4186.588539392564
4164,20170713,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2559.6579166448355,4306.7572523883555,4338.992030086569
4272,20170714,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2216.0434532022286,3404.678321719033,3458.037154117983
4313,20170715,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2095.6127635048992,3167.1993526264623,3094.8850504450697
4501,20170716,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2593.400515803017,4106.566300481455,4066.897206164021
4509,20170717,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2634.7811912371712,4184.731415663879,4177.477571883496
4644,20170718,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2620.7043098078257,4191.1673099650125,4187.493814438992
4776,20170719,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2624.1332937457432,4202.507990289399,4210.958194340139
4870,20170720,a20d041605db832309e26c003c626719,f189a9a771409c059ca076d3fd6f8745,a20d041605db832309e26c003c626719f189a9a771409c059ca076d3fd6f8745,2565.494175384669,4343.317556514196,4374.044512752444
