,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
51,20170601,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,86.4755983256778,113.98897369171749,109.70711004767976
187,20170602,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,86.68809053914806,116.55634536679649,111.8087453644678
219,20170603,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,58.01328512962026,87.96886552444826,93.3684964283843
371,20170604,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,52.54961547641919,81.71926576663117,77.72848734652533
455,20170605,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,52.27308451368392,81.84734326516119,76.55832474631924
550,20170606,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,83.04079268328181,108.83385437588421,108.70577687735417
616,20170607,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,84.95322260451417,103.84174278545272,104.9478666363938
686,20170608,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,86.8045246287208,115.43275640241951,114.1170511902475
862,20170609,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,86.86856337798582,115.57829901438544,115.2289967456672
946,20170610,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,83.04079268328181,113.10116375872528,118.84136437466162
1014,20170611,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,86.1786913972673,107.56763365178058,110.89764861356107
1121,20170612,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,85.09294351200145,103.0732777942726,105.88807190969372
1184,20170613,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,85.87887361661748,104.70626590053035,105.69595566189872
1320,20170614,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,73.7901042667272,84.66504823282163,79.0383708542187
1391,20170615,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,79.9756652752793,102.28152598517795,97.21955394100289
1533,20170616,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,80.59858765449349,105.59116498128323,103.19844444056332
1620,20170617,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,81.30592474864791,111.20910980316818,117.70613200132736
1675,20170618,c7537db4101856877ea6381d0174283c,03573c6f25ec09f7119eab8c91d2c38d,c7537db4101856877ea6381d0174283c03573c6f25ec09f7119eab8c91d2c38d,86.08845497784841,107.93731188617404,107.352230586071
