,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
2,20170601,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,98.69826687857672,57.67271541761997,54.25246403642059
153,20170602,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,100.95417736404863,59.50073062391208,55.02675073207934
239,20170603,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,75.15238311472835,41.70378003271798,48.32596887716787
358,20170604,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,67.53759365667081,37.70426905589419,39.21209051586124
447,20170605,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,65.91333810713101,38.3941410366127,39.12476494868168
538,20170606,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,94.65509311816315,52.91347200633402,54.85792130219886
597,20170607,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,95.66806969744604,52.30219303607711,53.789638530368926
737,20170608,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,98.4159142113628,57.71928905344907,56.362831909926605
870,20170609,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,98.43629017703805,59.36100971642478,57.41656042055994
919,20170610,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,95.86600764971969,55.45173515901986,60.52535061215222
1001,20170611,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,96.93720127378893,55.48084368141305,58.83414546110812
1113,20170612,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,93.97104284192328,53.17253785563338,54.814258518609066
1261,20170613,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,94.98984112568479,53.88278580202712,54.88994067683137
1356,20170614,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,88.78099329921815,47.54877132926979,47.96502319949235
1464,20170615,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,94.37274045094921,54.36307642151471,52.65731700927397
1508,20170616,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,91.51719440417769,51.332879240383996,49.94440272222902
1647,20170617,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,92.85618643426425,52.20322405994028,57.649428599705416
1706,20170618,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,94.82392254804363,53.35592154671046,55.83887850684924
1766,20170619,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,91.88978349081043,51.60358849864063,52.663138713752616
1949,20170620,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,92.31476791775096,52.89309604065879,54.35143301255742
2015,20170621,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,93.7119769926239,54.08654545877943,54.13894079908715
2068,20170622,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,95.44393407501848,57.6610720086627,55.638029702336254
2220,20170623,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,98.89911568308969,58.51395171478306,58.461556374475315
2256,20170624,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,95.78741463925807,54.499886476762676,59.24457562685203
2380,20170625,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,98.05205768144798,56.240576115875214,58.3334788759453
2520,20170626,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,96.07558901095064,53.766351712454366,55.312014251532574
2643,20170627,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,95.84563168404446,54.48533221556608,55.099522038062325
2679,20170628,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,96.2415075885918,56.773262075670516,56.636452020422546
2829,20170629,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,95.85436424076242,62.54548206623936,56.566591566678895
2899,20170630,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,98.38971654120894,65.74450867725054,60.23717624045969
3019,20170701,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,96.44817809758342,55.600188623225115,55.344033626165064
3059,20170702,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,91.11258594291238,44.672849316822976,55.61474288442171
3208,20170703,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,97.98801893218297,48.10765495921896,52.4739333181969
3262,20170704,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,96.9139144558744,49.49904232961328,51.08836765228125
3406,20170705,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,96.70724394688277,51.737487701649286,52.41862712564986
3462,20170706,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,98.52943744869623,51.0825459478026,51.15531725378557
3582,20170707,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,97.44077871119109,52.28181707040188,51.385274580691735
3649,20170708,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,96.65193775433573,49.286550116143005,52.942580528727206
3745,20170709,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,94.43095749573557,47.857321666637574,49.58927874903215
3884,20170710,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,95.16158140780459,50.25295305959678,50.453801864109785
3972,20170711,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,98.4130033591235,52.59618911224829,53.67320444079618
4100,20170712,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,98.00257319337956,52.43027053460713,52.191580650983
4148,20170713,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,103.30905682565742,59.54730425974118,57.23026587724354
4248,20170714,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,103.37891727940108,57.786238654953394,56.391940432319785
4324,20170715,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,104.21142101984621,55.66422737249013,59.256219035809316
4439,20170716,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,100.96582077300593,53.67029358855686,55.25670805898552
4561,20170717,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,101.55963462982693,54.34561130807879,56.19400248004611
4619,20170718,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,99.32992181450886,54.101099719976034,54.22626636626672
4774,20170719,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,99.50166209662865,52.33130155847029,52.3458558196669
4848,20170720,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,102.7734600136228,56.47344429502071,54.814258518609066
4956,20170721,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,101.6498710492458,57.829901438543175,55.72826612175514
5045,20170722,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,99.13489471447451,55.27708402466074,58.03366109529549
5141,20170723,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,97.34763143953288,48.86447654144181,51.196069185136025
5250,20170724,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,101.45193309697214,76.55541389407992,76.1944682164044
5304,20170725,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,94.21846528226536,54.55810352154904,54.80261510965181
5414,20170726,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,98.35478631433712,54.93360346042114,55.806859132216736
5546,20170727,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,102.39213837027205,57.067258151841706,57.09345582199558
5670,20170728,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,104.12700630490595,59.899517380698725,57.55045962356859
5708,20170729,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,104.62767289006877,54.57556863498496,57.94342467587661
5824,20170730,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,105.21566504241112,56.60443264579004,58.46737807895396
5923,20170731,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,104.05132414668371,55.32947936496848,56.464711738302746
6037,20170801,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,104.80814572890651,57.227355025004215,56.901339574200534
6113,20170802,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,109.90213714771411,61.72171088251218,62.21946661543568
6197,20170803,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,105.69013395742006,60.76404049577636,60.144028968801486
6342,20170804,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,110.92093543147564,65.20017930849795,64.49866391882216
6418,20170805,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,108.25750563249909,61.18029236599892,63.23244319471856
6560,20170806,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,105.55914560665072,54.476599658848116,55.57981265754989
6616,20170807,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,98.8670963084572,52.32547985399165,51.14949554930693
6695,20170808,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,100.54374719830471,51.85101093898272,51.04470486869146
6819,20170809,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,105.49801770962506,55.675870781447394,54.31941363792492
6935,20170810,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,113.25252807516986,61.63147446309331,59.14851750295452
7054,20170811,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,114.49255112911959,65.99775282207125,61.241420263024615
7081,20170812,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,117.35682973260911,63.817524494821605,59.235843070134074
7188,20170813,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,127.28865757316427,68.46324466877412,62.60952081550437
7299,20170814,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,134.90344703122182,73.2079338188635,64.82176851738653
7356,20170815,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,134.3736719236658,71.24601940956273,60.39145140914357
7472,20170816,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,114.23930698429888,55.61183203218238,45.35398874082354
7603,20170817,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,104.92166896623995,48.89649591607432,51.17860407170011
7708,20170818,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,119.86889521514108,64.56561352032648,63.35760984100926
7835,20170819,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,127.89411483894257,69.0221282987233,72.63740677995705
7881,20170820,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,130.0132152691665,69.05996937783445,75.60938691630136
7949,20170821,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,121.50479417363815,58.64202921331307,67.52303939547421
8104,20170822,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,122.08405376926257,69.13856238829605,85.25304038516397
8148,20170823,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,119.1673798254653,62.006974401965415,73.12934080840189
8235,20170824,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,119.39733715237148,64.39387323820668,71.71757747233234
8407,20170825,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,113.74155125137536,61.47719929440942,66.7574852565334
8525,20170826,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,109.60523021930362,57.96671149379116,64.30654767102713
8529,20170827,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,114.90298129486351,59.04954852681768,63.56136949776156
8686,20170828,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,102.15344848664793,54.69491357679703,57.81243632510727
8806,20170829,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,105.17491311106066,55.803948279977426,57.81243632510727
8824,20170830,c7537db4101856877ea6381d0174283c,08751b85e3dc67f2e690cf8945a4d85b,c7537db4101856877ea6381d0174283c08751b85e3dc67f2e690cf8945a4d85b,110.67933469561218,61.614009349657394,61.05803657194754
