,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
71,20170601,c7537db4101856877ea6381d0174283c,2923188186fb93a5a5d1bd5b6065c697,c7537db4101856877ea6381d0174283c2923188186fb93a5a5d1bd5b6065c697,537.4335597976376,972.1926285577894,965.6606761327582
170,20170602,c7537db4101856877ea6381d0174283c,2923188186fb93a5a5d1bd5b6065c697,c7537db4101856877ea6381d0174283c2923188186fb93a5a5d1bd5b6065c697,515.494466469893,893.8586839454857,897.4564973132834
255,20170603,c7537db4101856877ea6381d0174283c,2923188186fb93a5a5d1bd5b6065c697,c7537db4101856877ea6381d0174283c2923188186fb93a5a5d1bd5b6065c697,404.139814054759,726.3274941637413,702.1615988729179
344,20170604,c7537db4101856877ea6381d0174283c,2923188186fb93a5a5d1bd5b6065c697,c7537db4101856877ea6381d0174283c2923188186fb93a5a5d1bd5b6065c697,422.3617490728936,732.4402838663104,728.7609666358118
416,20170605,c7537db4101856877ea6381d0174283c,2923188186fb93a5a5d1bd5b6065c697,c7537db4101856877ea6381d0174283c2923188186fb93a5a5d1bd5b6065c697,419.79437739781457,720.3951773000099,717.819073068213
549,20170606,c7537db4101856877ea6381d0174283c,2923188186fb93a5a5d1bd5b6065c697,c7537db4101856877ea6381d0174283c2923188186fb93a5a5d1bd5b6065c697,531.2596421980428,914.3831030849212,914.7877115461864
660,20170607,c7537db4101856877ea6381d0174283c,2923188186fb93a5a5d1bd5b6065c697,c7537db4101856877ea6381d0174283c2923188186fb93a5a5d1bd5b6065c697,532.5113086609498,915.102083588033,910.6397471051577
766,20170608,c7537db4101856877ea6381d0174283c,2923188186fb93a5a5d1bd5b6065c697,c7537db4101856877ea6381d0174283c2923188186fb93a5a5d1bd5b6065c697,545.3772755587381,981.0678170354718,978.4160306454525
869,20170609,c7537db4101856877ea6381d0174283c,2923188186fb93a5a5d1bd5b6065c697,c7537db4101856877ea6381d0174283c2923188186fb93a5a5d1bd5b6065c697,533.3292581401984,934.7736230213484,933.9265650197066
888,20170610,c7537db4101856877ea6381d0174283c,2923188186fb93a5a5d1bd5b6065c697,c7537db4101856877ea6381d0174283c2923188186fb93a5a5d1bd5b6065c697,509.2885294956657,900.5885743227904,883.7871351974429
1032,20170611,c7537db4101856877ea6381d0174283c,2923188186fb93a5a5d1bd5b6065c697,c7537db4101856877ea6381d0174283c2923188186fb93a5a5d1bd5b6065c697,530.220467948606,913.5098474131256,907.8627940688476
1096,20170612,c7537db4101856877ea6381d0174283c,2923188186fb93a5a5d1bd5b6065c697,c7537db4101856877ea6381d0174283c2923188186fb93a5a5d1bd5b6065c697,536.9736451438253,903.9768063293573,899.7386054689093
1260,20170613,c7537db4101856877ea6381d0174283c,2923188186fb93a5a5d1bd5b6065c697,c7537db4101856877ea6381d0174283c2923188186fb93a5a5d1bd5b6065c697,533.326347287959,893.6287266185794,887.2801578846255
