,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
37,20170601,c7537db4101856877ea6381d0174283c,3d02638d29eb06d6cf9996fda90aef3b,c7537db4101856877ea6381d0174283c3d02638d29eb06d6cf9996fda90aef3b,74.01132903691544,52.98624331231699,52.4710224659576
110,20170602,c7537db4101856877ea6381d0174283c,3d02638d29eb06d6cf9996fda90aef3b,c7537db4101856877ea6381d0174283c3d02638d29eb06d6cf9996fda90aef3b,76.57287900751581,53.990487334881905,52.456468204761
251,20170603,c7537db4101856877ea6381d0174283c,3d02638d29eb06d6cf9996fda90aef3b,c7537db4101856877ea6381d0174283c3d02638d29eb06d6cf9996fda90aef3b,50.098677890912896,36.96782343934658,40.586012772819636
352,20170604,c7537db4101856877ea6381d0174283c,3d02638d29eb06d6cf9996fda90aef3b,c7537db4101856877ea6381d0174283c3d02638d29eb06d6cf9996fda90aef3b,45.415116637849216,33.06728143865961,33.66982785219857
424,20170605,c7537db4101856877ea6381d0174283c,3d02638d29eb06d6cf9996fda90aef3b,c7537db4101856877ea6381d0174283c3d02638d29eb06d6cf9996fda90aef3b,46.847255939594,36.99984281397908,34.96515709869536
501,20170606,c7537db4101856877ea6381d0174283c,3d02638d29eb06d6cf9996fda90aef3b,c7537db4101856877ea6381d0174283c3d02638d29eb06d6cf9996fda90aef3b,74.76232891465962,55.483754533652366,55.99315367553313
598,20170607,c7537db4101856877ea6381d0174283c,3d02638d29eb06d6cf9996fda90aef3b,c7537db4101856877ea6381d0174283c3d02638d29eb06d6cf9996fda90aef3b,73.1642710352737,49.81050351922036,49.90073993863924
715,20170608,c7537db4101856877ea6381d0174283c,3d02638d29eb06d6cf9996fda90aef3b,c7537db4101856877ea6381d0174283c3d02638d29eb06d6cf9996fda90aef3b,75.70544504019888,52.441913943564394,51.452224182196076
800,20170609,c7537db4101856877ea6381d0174283c,3d02638d29eb06d6cf9996fda90aef3b,c7537db4101856877ea6381d0174283c3d02638d29eb06d6cf9996fda90aef3b,75.74619697154934,54.49697562452335,54.21753380954876
963,20170610,c7537db4101856877ea6381d0174283c,3d02638d29eb06d6cf9996fda90aef3b,c7537db4101856877ea6381d0174283c3d02638d29eb06d6cf9996fda90aef3b,71.56330230364847,51.228088559768544,53.02699524366744
