,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
78,20170601,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,453.1731200260812,810.6199533099301,809.1295969633992
169,20170602,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,433.77520070326193,762.4453487492067,770.9013745044275
282,20170603,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,329.96256644020235,605.0148162378982,602.3048128030925
323,20170604,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,347.8584860075333,611.992129055545,613.572721821495
433,20170605,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,343.5911766246922,605.5591456066508,606.1762462813863
532,20170606,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,451.1733645376694,777.1538851144838,774.871776958858
664,20170607,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,457.28033253575984,776.7754743233725,776.670683642757
773,20170608,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,462.96522695914916,823.0609357807782,819.2913821308605
810,20170609,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,446.7867102130162,797.9315483987402,801.1131098963153
884,20170610,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,428.23002718736,752.8744665863272,752.1904163100875
1038,20170611,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,455.9471622101519,769.8854870729052,770.0455839460678
1105,20170612,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,459.2014950137101,762.8907091418226,763.405929988182
1254,20170613,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,464.64187784899667,757.6948378946388,758.8242485634946
1301,20170614,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,430.1337245518743,689.0394769780697,689.2898102706511
1419,20170615,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,443.4537843989963,771.2506767731458,770.4793009297263
1529,20170616,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,430.07550750708793,759.1735508322126,760.9841009250688
1607,20170617,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,416.02191289565764,725.2242811650395,722.6394443765248
1720,20170618,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,458.0109564478289,775.913862060534,777.8670439131171
1847,20170619,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,453.1876742872777,757.7792526095793,761.1267326847957
1880,20170620,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,461.7921535067037,775.8585558679871,776.4872999516797
1964,20170621,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,462.71780451880704,789.1349529315194,789.2164567942202
2146,20170622,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,453.1993176962352,801.4682338695122,800.4581681424687
2179,20170623,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,444.2804664349628,791.2074797259143,794.5607815056093
2334,20170624,c7537db4101856877ea6381d0174283c,3f92d69b5335d09f3365beaeec3da4b8,c7537db4101856877ea6381d0174283c3f92d69b5335d09f3365beaeec3da4b8,437.3497272531452,782.984322149839,779.246787874554
