,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
46,20170601,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,46.65805054403829,37.74793183948397,33.32634728795897
118,20170602,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,46.06132583497797,32.621921046043866,29.070681314075138
290,20170603,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,31.41682821896595,26.24424378969675,29.81294863510139
355,20170604,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,29.114344097664915,24.18336040425916,24.052372053489822
425,20170605,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,29.75182073807569,31.39645225329072,27.46680173021057
522,20170606,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,42.239376844752606,41.77072963422231,41.852233496923226
673,20170607,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,43.36005495689028,42.492620989573325,41.6746715103248
710,20170608,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,45.016329881062575,43.31348132106118,42.137497016376464
813,20170609,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,44.73979891832731,33.00615354163392,30.814281805426997
903,20170610,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,44.154717618224275,33.378742628266714,36.496265376576964
1061,20170611,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,44.09650057343789,30.651274080025157,31.719556851855092
1079,20170612,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,42.51008610300924,29.00373171257081,28.689359670724397
1202,20170613,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,42.87394263292407,29.70233625000728,29.02992938272468
1370,20170614,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,38.452358081399076,25.36807726566184,23.95631392959231
1374,20170615,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,43.16211700461661,33.361277514830796,28.66316200057053
1545,20170616,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,43.31057046882187,32.031018041462175,28.15376285868977
1591,20170617,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,41.75617537302572,29.140541767818785,33.50973097903604
1748,20170618,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,43.22906660612095,29.44618125294724,30.168072608298264
1826,20170619,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,41.505842080444324,28.849456543886923,27.775352067578343
1863,20170620,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,42.120031902940546,30.74733220392267,29.17547199469061
1981,20170621,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,42.480977580616056,30.3922082307258,29.73726647687911
2059,20170622,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,43.878186655488996,33.352544958112844,30.06328192768279
2191,20170623,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,44.92027175716507,31.961157587718528,30.281595845631685
2286,20170624,c7537db4101856877ea6381d0174283c,560818ea9fb3f253fd66a6ab05eec766,c7537db4101856877ea6381d0174283c560818ea9fb3f253fd66a6ab05eec766,44.21293466301064,30.421316753118983,33.38747518498466
