,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
81,20170601,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,531.6409638413935,779.959946673187,792.4329485186673
183,20170602,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,512.5894359350531,733.5347643082943,744.0021889608839
268,20170603,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,390.4704519389187,586.7026448003447,565.8114582787549
337,20170604,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,405.87468198939285,586.9558889451654,585.6052535061216
431,20170605,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,400.60021773174753,576.8988944583194,576.2614178179088
531,20170606,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,530.8113709531877,746.0310529716893,744.185572651961
650,20170607,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,533.4544247864891,751.2269242188727,750.2517887187013
775,20170608,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,551.5599257150509,787.9502360701167,797.0088082388762
795,20170609,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,520.2275122110252,757.5784038050663,763.3127827165238
910,20170610,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,500.58217044786375,737.9155969284687,723.9289519185428
1035,20170611,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,526.008464758312,751.0202537098813,747.1226225614336
1092,20170612,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,531.6729832160262,743.5888479429007,742.750522497977
1244,20170613,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,528.374987628878,731.1071135407025,731.1565980287709
1293,20170614,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,504.72140233217493,674.8723591293059,672.6688439841417
1428,20170615,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,519.5580161959818,753.511943226738,753.6953269178149
1488,20170616,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,503.2950847349087,725.6521764442192,735.5985585459712
1601,20170617,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,486.03373095574926,701.8384942743538,689.1064265795741
1732,20170618,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,530.7735298740765,756.2918071152873,753.0432960162077
1849,20170619,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,526.7856623062098,735.1415547443981,732.5770939215587
1877,20170620,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,537.0202187796543,751.4277730233857,749.9577926425299
1968,20170621,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,538.5891681366471,759.3714887844864,758.8650004948448
2071,20170622,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,534.7613974419431,773.739455437763,784.6318645172937
2162,20170623,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,524.8936083506528,764.1161779345758,766.5583829633641
2335,20170624,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,518.2568652450065,750.1004244022565,734.3818223099361
2428,20170625,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,543.0398612105654,775.0930017290464,771.719323983676
2543,20170626,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,534.5721920463874,749.8966647455043,749.7773198036923
2576,20170627,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,533.9230719970193,746.3716226836892,746.6918164300145
2680,20170628,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,536.6650948064573,761.9330387550868,764.191860092798
2786,20170629,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,514.333036426405,775.363710987303,809.5516705381003
2918,20170630,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,438.58975030709496,649.256859423302,688.303031361522
2971,20170701,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,363.8332430969139,496.62632225462977,501.8338369107708
3038,20170702,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,353.68892304288846,526.9836002584838,472.4749812250032
3227,20170703,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,469.3749235901288,659.0576989130877,642.0437675742704
3309,20170704,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,532.0834133817699,729.212148732906,725.3756454814841
3409,20170705,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,535.6288314092601,739.9240849735986,737.5983140343831
3508,20170706,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,533.8735875089509,756.1986598436291,761.3741551251378
3538,20170707,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,507.1577856564845,706.0330323512119,710.7544346833866
3627,20170708,c7537db4101856877ea6381d0174283c,6ecd1a38b37826ffdb76fab0b744f042,c7537db4101856877ea6381d0174283c6ecd1a38b37826ffdb76fab0b744f042,485.11972335260316,661.3980241135,654.7234399287422
