,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
48,20170601,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,50.43633675067387,33.69602552235244,33.25066512973669
123,20170602,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,50.47999953426365,33.83574642983973,33.335079844676926
200,20170603,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,34.58383545534462,24.41622858340465,28.48851086621141
374,20170604,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,32.39487457137701,23.289728766788343,24.10476739379756
486,20170605,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,31.46922355927369,23.219868313044696,23.135453598104448
533,20170606,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,47.74379842930414,30.69202601137561,31.05006083681181
620,20170607,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,49.06532534595479,30.60178959195673,31.38189799209413
697,20170608,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,50.07539107299837,32.822769850556845,33.24193257301873
845,20170609,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,51.07381339108465,34.42956028666073,34.45866880905392
899,20170610,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,48.538461090638116,32.819858998317535,34.566370341908716
1065,20170611,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,50.03754999388722,32.298816447479496,33.553393762625824
1091,20170612,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,48.61123239662109,30.86958799797405,32.06012656385537
1227,20170613,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,49.21960051463868,31.0966344726409,31.349878617461624
1322,20170614,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,44.81548107654961,27.29215059585145,28.011131098963162
1460,20170615,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,47.91553871142394,31.37025458313685,30.93362674723906
1558,20170616,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,46.35532191114915,30.72986709048676,30.88414225917064
1635,20170617,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,47.54003877255183,31.943692474282628,34.20251381199388
1754,20170618,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,49.30401522957892,32.1125219041631,33.043994620745075
1792,20170619,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,49.01293000564706,31.562370830931894,31.97280099667581
1918,20170620,c7537db4101856877ea6381d0174283c,6f8199333234985aceb0f83bc046a918,c7537db4101856877ea6381d0174283c6f8199333234985aceb0f83bc046a918,48.67818199812542,31.774863044402146,32.85478922518935
