,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
6,20170601,c7537db4101856877ea6381d0174283c,7782cd408e0cdc423dc9f75721bb6223,c7537db4101856877ea6381d0174283c7782cd408e0cdc423dc9f75721bb6223,120.1658021435516,166.8296743920685,166.57351939500847
174,20170602,c7537db4101856877ea6381d0174283c,7782cd408e0cdc423dc9f75721bb6223,c7537db4101856877ea6381d0174283c7782cd408e0cdc423dc9f75721bb6223,121.85409644235641,165.6129381560333,164.6698220304941
242,20170603,c7537db4101856877ea6381d0174283c,7782cd408e0cdc423dc9f75721bb6223,c7537db4101856877ea6381d0174283c7782cd408e0cdc423dc9f75721bb6223,85.04636987617235,123.62680545610144,129.34663010636254
356,20170604,c7537db4101856877ea6381d0174283c,7782cd408e0cdc423dc9f75721bb6223,c7537db4101856877ea6381d0174283c7782cd408e0cdc423dc9f75721bb6223,81.72217661887049,120.30261219879957,121.84536388563845
464,20170605,c7537db4101856877ea6381d0174283c,7782cd408e0cdc423dc9f75721bb6223,c7537db4101856877ea6381d0174283c7782cd408e0cdc423dc9f75721bb6223,79.67293664239017,117.58969791175457,118.33778693725952
552,20170606,c7537db4101856877ea6381d0174283c,7782cd408e0cdc423dc9f75721bb6223,c7537db4101856877ea6381d0174283c7782cd408e0cdc423dc9f75721bb6223,116.51268258320671,162.2858340464921,164.59705072451118
603,20170607,c7537db4101856877ea6381d0174283c,7782cd408e0cdc423dc9f75721bb6223,c7537db4101856877ea6381d0174283c7782cd408e0cdc423dc9f75721bb6223,120.66064702423576,162.06169842406462,164.11384925278426
776,20170608,c7537db4101856877ea6381d0174283c,7782cd408e0cdc423dc9f75721bb6223,c7537db4101856877ea6381d0174283c7782cd408e0cdc423dc9f75721bb6223,127.38762654930113,174.18830885306602,175.88533570858874
854,20170609,c7537db4101856877ea6381d0174283c,7782cd408e0cdc423dc9f75721bb6223,c7537db4101856877ea6381d0174283c7782cd408e0cdc423dc9f75721bb6223,119.60400766136308,165.153023502221,164.36127169312633
934,20170610,c7537db4101856877ea6381d0174283c,7782cd408e0cdc423dc9f75721bb6223,c7537db4101856877ea6381d0174283c7782cd408e0cdc423dc9f75721bb6223,115.87229509055662,159.15084618474597,162.33531853456057
1009,20170611,c7537db4101856877ea6381d0174283c,7782cd408e0cdc423dc9f75721bb6223,c7537db4101856877ea6381d0174283c7782cd408e0cdc423dc9f75721bb6223,120.18617810922683,162.36151620471443,164.83574060813527
1114,20170612,c7537db4101856877ea6381d0174283c,7782cd408e0cdc423dc9f75721bb6223,c7537db4101856877ea6381d0174283c7782cd408e0cdc423dc9f75721bb6223,119.11789533739687,160.99632650447398,162.39644643158624
1193,20170613,c7537db4101856877ea6381d0174283c,7782cd408e0cdc423dc9f75721bb6223,c7537db4101856877ea6381d0174283c7782cd408e0cdc423dc9f75721bb6223,120.72177492126144,159.24690430864348,161.56976439561976
