,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
91,20170601,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,165.15593435446033,181.0404550244221,180.24288151084872
177,20170602,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,164.23610504683563,176.34233951016182,172.6368246095092
213,20170603,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,114.94373322621401,124.43020067415337,131.81503280530475
325,20170604,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,106.94471127256641,123.53947988892187,124.60485180851248
410,20170605,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,106.41202531277108,123.49581710533212,121.92104604386073
524,20170606,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,162.8010548928515,179.73930407344662,180.8308736631911
640,20170607,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,160.9410203119269,174.73554907405793,176.65380069976888
780,20170608,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,164.42822129463062,188.02650039878682,189.08022890942013
816,20170609,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,162.4197332495008,177.01765722968372,175.311897817443
957,20170610,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,158.14951301442036,166.87915888013694,172.342828533338
1044,20170611,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,164.52136856628888,174.9160219128957,178.2343934657189
1086,20170612,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,161.44750860156842,172.59898353039802,173.32378573798835
1266,20170613,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,164.1516903318954,172.5145688154578,173.68182056342457
1310,20170614,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,149.99912674432818,153.40773471657033,153.69881994050218
1434,20170615,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,163.33665170488618,168.19486409230896,168.7188174953863
1512,20170616,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,151.5098590565346,161.3427179209529,159.75048174604558
1621,20170617,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,153.59985096436534,163.75290357510875,169.14089107008752
1749,20170618,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,164.9550855499473,172.8260300050649,175.1343358308446
1807,20170619,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,163.17946568396297,165.33349634105875,165.68862031425562
1886,20170620,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,161.2466597970554,168.70426323418968,169.99959248068654
2027,20170621,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,162.61476034953515,171.9353092198334,172.31954171542347
2076,20170622,c7537db4101856877ea6381d0174283c,82271c9f4c9bf3b072ebe43b29d01caf,c7537db4101856877ea6381d0174283c82271c9f4c9bf3b072ebe43b29d01caf,162.74574870030452,177.61729279098338,174.3949793620576
