,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
36,20170601,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,182.62978034709005,203.1541994865257,195.16973179407464
190,20170602,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,170.8291853688923,191.10618206798588,187.13869046579453
271,20170603,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,126.15342519983,147.43466592148854,149.7167740771143
390,20170604,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,118.64342642238796,131.08440889323575,129.91133544079037
401,20170605,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,120.1658021435516,139.4938610126273,137.87833801980543
523,20170606,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,164.47188407822046,183.77956698162086,181.6691991081149
635,20170607,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,163.54914391835644,182.775322959056,180.60964889300288
731,20170608,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,168.8206973237625,194.14802265807384,188.7862328332489
880,20170609,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,170.92524349278983,195.85960377479321,191.91248813827715
924,20170610,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,163.81694232437374,186.83596183290544,191.7203718904821
1017,20170611,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,167.03925575329947,179.4016452136857,179.6112265749166
1104,20170612,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,164.15751203637404,173.92924300376666,173.56829732609108
1238,20170613,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,165.34805060225534,178.37411437320614,178.4206880090353
1276,20170614,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,157.4363542157873,158.155334718899,156.8891139947954
1437,20170615,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,164.166244593092,179.84409475406207,175.448707872691
1497,20170616,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,162.97570602721066,179.97217225259212,177.28254478346167
1665,20170617,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,159.8378073132251,184.39084595187785,187.5724074494531
1727,20170618,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,167.96490676540282,177.39606802079518,177.42808739542764
1806,20170619,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,163.6975973825617,172.17982080793618,171.30656513614056
1899,20170620,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,162.78358977941562,177.13118046701717,174.63366924568177
2052,20170621,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,166.62009303083758,178.6884864150526,177.49212614469266
2064,20170622,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,168.07551915049692,182.2339044425427,176.5286340534782
2184,20170623,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,170.88449156143938,185.4882372461009,183.9338421503048
2347,20170624,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,168.81487561928384,185.89866741184483,189.51103504083926
2406,20170625,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,172.60189438263737,179.97217225259212,180.25161406756672
2491,20170626,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,169.53094527015622,173.95835152615984,172.56696415576553
2612,20170627,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,169.8220304940881,174.6860645859895,173.77787868732207
2733,20170628,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,169.38540265819032,175.81547525484513,173.16659971706517
2759,20170629,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,171.78976660786748,194.64868924323662,185.51734576849412
2881,20170630,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,166.51821320246142,190.5094573589256,184.7197722549208
2967,20170701,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,155.84411804088003,157.5236797829669,158.1524238666597
3070,20170702,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,151.64375825954323,157.7943890412235,165.81960866502496
3232,20170703,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,163.73543846167283,160.00663674310562,162.15193484348347
3328,20170704,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,168.97206164020702,169.8860692433531,168.65768959836063
3368,20170705,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,169.51639100895963,178.1354244895821,176.19388604595656
3499,20170706,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,172.1070495019532,183.9221987413475,178.19655238660778
3599,20170707,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,169.6648444731649,185.72401627748573,186.50994638210176
3651,20170708,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,164.03525624232262,169.36793754475437,173.9496189694419
3748,20170709,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,160.05321037893475,162.22470614946644,162.11409376437234
3847,20170710,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,163.41524471534774,170.74185980171274,168.93422056109586
4009,20170711,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,169.5047476000023,174.43282044116881,173.10838267227882
4056,20170712,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,167.66508898475297,173.30923147679175,171.53652246304674
4146,20170713,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,175.42833190701577,194.40126680289453,189.36840328111262
4270,20170714,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,173.51008028130474,186.6904192209396,184.5160125981685
4399,20170715,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,171.67333251829473,184.2016405563221,187.12413620459802
4434,20170716,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,170.39546838523384,174.6715103247929,175.22457225026344
4546,20170717,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,167.67382154147091,172.69213080205623,170.6225148599007
4611,20170718,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,169.1845538536773,181.5323890528669,177.62893619994065
4788,20170719,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,169.74052663138716,175.0964947517334,171.01547991220872
4845,20170720,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,172.75325869908193,184.60042731310875,179.98381566154941
4947,20170721,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,172.69213080205623,184.94099702510903,181.35482706626846
5061,20170722,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,165.91275593668317,176.22008371611042,174.88400253826316
5165,20170723,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,168.03767807138576,166.77436819952146,166.66666666666669
5206,20170724,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,170.33142963596885,217.8947552264352,216.44515081125454
5368,20170725,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,160.9526637208842,175.42833190701577,173.26556869320203
5460,20170726,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,166.3086318412305,182.85100511727825,179.5006141898225
5511,20170727,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,172.75616955132125,185.00503577437402,182.62686949485072
5656,20170728,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,171.67624337053405,181.34027280507192,178.1732655686932
5721,20170729,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,170.26156918222514,180.51941247358403,181.81765257232013
5810,20170730,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,172.9395532423983,175.09067304725482,175.175087762195
5964,20170731,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,172.71832847221012,178.07138574031708,177.83560670893226
6031,20170801,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,174.9363978785709,185.86955888945167,185.33105122517773
6129,20170802,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,175.62335900705008,182.7054625053123,182.12038120520927
6208,20170803,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,170.08982890010537,184.56258623399762,181.2151061587812
6325,20170804,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,176.86920376547852,191.55736416508026,191.20515104412274
6377,20170805,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,174.45901811132262,192.18028654429446,194.6690652089119
6495,20170806,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,164.30887635281857,161.08365207165355,159.94550884607995
6590,20170807,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,147.97026273352313,145.03612367628998,143.01308136996354
6693,20170808,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,156.84254035896632,152.99148284634776,153.60858352108332
6812,20170809,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,164.3117872050579,172.59025097368007,169.58042975822462
6919,20170810,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,165.85162803965747,173.36744852157815,170.7302163927555
7017,20170811,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,165.05114367384485,179.42784288383953,175.35556060103278
7107,20170812,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,165.50232577093922,171.25416979583284,166.80929842639333
7219,20170813,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,171.46957286154242,173.91177789033074,167.05963171897469
7314,20170814,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,177.52414551932515,186.4400859283581,178.40904460007806
7360,20170815,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,172.9075338677658,164.63780265586158,155.61707156621316
7457,20170816,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,150.0893631637471,138.38191545720758,129.6289827735765
7608,20170817,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,157.14526899185546,224.735257988834,211.44721751634447
7660,20170818,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,159.43610970419917,179.1251142509504,169.24568175070297
7780,20170819,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,179.62869168835255,221.34411513002775,220.08662696264213
7937,20170820,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,168.96915078796772,213.77589930779936,213.60124817344024
7940,20170821,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,159.81452049531063,232.0036560304126,232.19577227820758
8074,20170822,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,164.91142276635756,243.74312311158462,245.23347945811577
8220,20170823,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,168.2356160236594,206.92666398868263,210.86795792072
8323,20170824,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,177.00892467296578,238.92275180327297,235.3773337757829
8418,20170825,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,171.08534036595242,202.9387964208161,206.5511640498105
8494,20170826,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,170.33725134044747,214.14557754219285,215.09451537221068
8535,20170827,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,176.49661467884567,195.4317084956133,196.6921075152383
8661,20170828,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,168.0114804012319,175.5884287801783,175.94937445785382
8819,20170829,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,173.4314872708432,183.4040670427488,181.73905956185848
8893,20170830,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,178.62444766578759,193.49599175646648,189.55178697218966
8993,20170831,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,194.5264334491853,273.043761752566,264.8642669600806
9108,20170901,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,185.97434957006715,237.88939925831485,236.64646535212586
9160,20170902,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,180.4349977586438,212.055585634362,212.72217079716597
9276,20170903,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,183.93966385478345,192.18901910101243,191.0828952500713
9325,20170904,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,182.13493546640584,184.155066920493,183.73881505027043
9448,20170905,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,184.34427231604874,188.16913215851338,185.87829144616958
9588,20170906,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,188.07307403461587,190.85293792316517,188.90266692282168
9637,20170907,c7537db4101856877ea6381d0174283c,83d680ca232f903aa3402e7618894ec5,c7537db4101856877ea6381d0174283c83d680ca232f903aa3402e7618894ec5,188.80660879892415,198.24941346327373,193.83656146846675
