,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
7,20170601,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,135.62824923881217,61.04057145851163,59.052459379057005
161,20170602,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,141.37427155922708,69.30448096593723,65.66882651902824
224,20170603,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,94.17189164643624,44.06739205104471,53.8944292109844
379,20170604,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,84.33903278201792,40.9877103818456,41.86969861035914
474,20170605,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,87.29645865716566,42.30923729849626,41.93955906410279
496,20170606,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,140.92308946213276,62.10012167362361,61.76246281386265
604,20170607,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,135.48561747908553,58.10934325351777,60.353610330032424
755,20170608,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,139.13873703943042,63.27319512606901,61.55870315711035
805,20170609,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,139.91593458732848,66.95542320880708,65.79108231307963
977,20170610,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,134.76954782821315,60.84554435847728,69.54025999732202
984,20170611,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,137.08076450623216,56.70631247416618,58.877808244697896
1125,20170612,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,135.00532685959794,56.648095429379815,58.07150217440663
1242,20170613,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,135.31969890144438,57.859009960936355,59.765618177690065
1334,20170614,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,125.02983623545305,47.98539916516758,49.231243923595954
1467,20170615,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,129.56785487655077,57.87647507437228,55.08496777686572
1517,20170616,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,127.57974279709616,61.59363338398217,59.966466982203045
1592,20170617,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,130.69144384092777,59.91407164189533,67.694779677594
1670,20170618,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,137.97730699594229,58.182114559500725,60.46131186288722
1815,20170619,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,133.75074954445162,57.451490647431754,59.71031198514302
1881,20170620,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,132.74941637412599,57.879385926611604,59.8791414150235
1969,20170621,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,134.00690454151172,56.936269801072356,58.5197734192617
2082,20170622,c7537db4101856877ea6381d0174283c,8aef48d33924fa6298b9820b9dde869e,c7537db4101856877ea6381d0174283c8aef48d33924fa6298b9820b9dde869e,134.71133078342677,60.470044419605166,59.82092437023712
