,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
31,20170601,c7537db4101856877ea6381d0174283c,a7b25de287f5577daa34dd59bc268d6b,c7537db4101856877ea6381d0174283ca7b25de287f5577daa34dd59bc268d6b,48.91978273398886,28.593301546826893,27.35327849287715
147,20170602,c7537db4101856877ea6381d0174283c,a7b25de287f5577daa34dd59bc268d6b,c7537db4101856877ea6381d0174283ca7b25de287f5577daa34dd59bc268d6b,47.1907365038336,26.535329013628612,25.539817547781638
206,20170603,c7537db4101856877ea6381d0174283c,a7b25de287f5577daa34dd59bc268d6b,c7537db4101856877ea6381d0174283ca7b25de287f5577daa34dd59bc268d6b,32.70051405650547,18.067659849450727,21.758620488906747
364,20170604,c7537db4101856877ea6381d0174283c,a7b25de287f5577daa34dd59bc268d6b,c7537db4101856877ea6381d0174283ca7b25de287f5577daa34dd59bc268d6b,28.450669787100267,16.618055434270047,17.156563098543995
480,20170605,c7537db4101856877ea6381d0174283c,a7b25de287f5577daa34dd59bc268d6b,c7537db4101856877ea6381d0174283ca7b25de287f5577daa34dd59bc268d6b,29.10561154094696,17.71544672849317,17.622299456834973
499,20170606,c7537db4101856877ea6381d0174283c,a7b25de287f5577daa34dd59bc268d6b,c7537db4101856877ea6381d0174283ca7b25de287f5577daa34dd59bc268d6b,43.63367506738624,24.774263408840838,25.461224537320035
647,20170607,c7537db4101856877ea6381d0174283c,a7b25de287f5577daa34dd59bc268d6b,c7537db4101856877ea6381d0174283ca7b25de287f5577daa34dd59bc268d6b,44.0033533017797,25.493243911952554,26.194759301628327
728,20170608,c7537db4101856877ea6381d0174283c,a7b25de287f5577daa34dd59bc268d6b,c7537db4101856877ea6381d0174283ca7b25de287f5577daa34dd59bc268d6b,46.80650400824354,27.46680173021057,27.48135599140717
793,20170609,c7537db4101856877ea6381d0174283c,a7b25de287f5577daa34dd59bc268d6b,c7537db4101856877ea6381d0174283ca7b25de287f5577daa34dd59bc268d6b,45.321969366191034,26.01428646279058,26.159829074756512
952,20170610,c7537db4101856877ea6381d0174283c,a7b25de287f5577daa34dd59bc268d6b,c7537db4101856877ea6381d0174283ca7b25de287f5577daa34dd59bc268d6b,43.51141927333486,24.56177119537059,27.42604979886011
999,20170611,c7537db4101856877ea6381d0174283c,a7b25de287f5577daa34dd59bc268d6b,c7537db4101856877ea6381d0174283ca7b25de287f5577daa34dd59bc268d6b,45.118209709438716,24.730600625251064,25.894941520978517
