,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
96,20170601,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,395.89336966076934,616.861984851925,632.3215210949462
171,20170602,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,382.0871974896811,572.2968370679567,581.9463122412982
289,20170603,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,290.6020224601358,469.2555786483167,448.87670212084686
311,20170604,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,299.01147457952743,463.9636492772354,464.2634670578853
435,20170605,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,296.2869168835252,456.6370341908705,456.3575923758958
508,20170606,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,394.766869844153,590.2102217487236,584.8979164119671
656,20170607,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,398.90028002398543,588.6470940962097,587.0897881481741
757,20170608,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,403.43829866508315,617.8458529088148,630.8136996349792
879,20170609,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,397.3633500416252,601.4402896880149,599.5307706190217
898,20170610,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,382.1716122046213,589.6134970396632,572.800414505359
1029,20170611,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,395.7216293786496,592.8532755820248,591.0747448638012
1100,20170612,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,399.042911783712,582.8224787653329,580.0426148767838
1268,20170613,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,407.2980887344197,585.6227186195575,578.5464368257739
1355,20170614,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,369.32602127250817,526.9515808838512,525.1963369835421
1379,20170615,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,389.4109017238066,590.4721984502622,601.4897741760832
1550,20170616,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,377.7849578799682,569.7818607331855,574.6051428937365
1639,20170617,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,369.87617234573935,566.2160667400202,548.6024998399032
1709,20170618,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,399.2641365539003,597.7988135366272,596.2647944065063
1831,20170619,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,393.4802731543742,582.5255718369225,580.7121108918269
1869,20170620,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,397.9164119670957,593.292814270162,588.8217452305688
1978,20170621,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,399.76771399130234,599.4696427219961,599.4609101652783
2154,20170622,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,399.919078307747,614.6351828888463,624.6659797055382
2206,20170623,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,395.4392767114357,600.4389565176892,603.3643630182045
2272,20170624,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,391.36699442862886,597.3010578037038,582.5168392802045
2426,20170625,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,405.455519266931,611.9484662719551,609.4131139715087
2517,20170626,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,398.7430940030623,592.981353080555,591.5317486653743
2571,20170627,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,400.0442449540377,594.7220427196675,590.2888147591852
2663,20170628,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,397.8523732178308,599.1523598279106,598.2383522247644
2783,20170629,c7537db4101856877ea6381d0174283c,b058ccce8a07d6bc5e9ba7f2bb09fb86,c7537db4101856877ea6381d0174283cb058ccce8a07d6bc5e9ba7f2bb09fb86,384.5206699617514,623.923712384512,651.8853589954067
