,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
67,20170601,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,26.145274813559915,23.95631392959231,23.65358529670317
192,20170602,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,26.48875537779952,24.570503752088538,24.42496114012261
253,20170603,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,17.147830541826035,16.559838389483673,18.68767137642559
329,20170604,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,15.340191301209169,15.57597033259398,15.645830786337626
402,20170605,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,15.768086580389008,15.005443293687527,15.27906340418348
561,20170606,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,24.42205028788329,22.727934284599854,22.87929860104441
681,20170607,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,25.63878652391848,23.542972911609066,23.8457015444982
778,20170608,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,25.99099964487603,25.580569479132105,25.68536015974757
881,20170609,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,25.819259362756227,26.22677867626084,26.410162367337907
909,20170610,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,24.51228670730217,24.049461201250505,25.40591834477298
1028,20170611,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,25.59221288808937,25.007131587986326,24.960557952157234
1101,20170612,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,25.67371675079029,23.61283336535271,24.12514335947279
1249,20170613,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,26.119077143406052,24.16589529082325,24.407496026686694
1331,20170614,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,24.721868068533112,18.89143103317789,19.77633011393076
1372,20170615,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,24.771352556601524,22.302949857659332,22.259287074069547
1544,20170616,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,23.938848816156398,22.10792275762498,22.14867468897544
1614,20170617,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,23.601189956395434,23.979600747506858,25.167228461148852
1760,20170618,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,25.571836922414146,24.369654947575555,24.78881767003743
1859,20170619,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,25.836724476192146,24.978023065593142,24.79755022675539
1866,20170620,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,24.82665874914857,24.96637965663588,25.941515156807608
1991,20170621,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,25.74066635229463,24.488999889387607,25.02168584918293
2084,20170622,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,25.376809822379798,25.14394164323431,25.71446868214076
2200,20170623,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,25.362255561183204,26.162739926995826,26.19184844938901
2281,20170624,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,24.832480453627216,24.884875793934953,27.00688707639823
2425,20170625,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,26.023019019508535,25.525263286585048,25.52235243434573
2521,20170626,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,26.049216689662398,23.70015893253227,24.203736369934397
2573,20170627,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,26.031751576226487,24.061104610207767,24.32890301622509
2664,20170628,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,26.04048413294445,24.369654947575555,24.640364205832185
2782,20170629,c7537db4101856877ea6381d0174283c,bea147450c07d14fd20f45b2290b0f8f,c7537db4101856877ea6381d0174283cbea147450c07d14fd20f45b2290b0f8f,26.78275145397069,28.23526672139069,27.26886377793691
