,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
82,20170601,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,139.7121749305762,88.57432279022653,86.29512548684004
145,20170602,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,141.5780312159794,86.39991616745552,85.04928072841167
249,20170603,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,105.41069214244548,68.288593534415,73.98804221900089
298,20170604,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,96.58789900507072,62.46397820353844,64.82176851738653
443,20170605,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,102.66866933300732,72.30556962467472,69.88956226604026
490,20170606,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,134.66184629535834,92.39045007597325,93.03374842086264
624,20170607,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,134.1204277788451,93.01919415966609,91.32507815638263
722,20170608,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,139.3716052185759,92.1808687147423,94.9927519779241
831,20170609,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,139.4210897066443,84.92411408212097,85.46553259863424
951,20170610,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,131.7946568396295,82.6944012668029,86.48142003015644
1077,20170611,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,133.36651704886157,80.26675049921117,83.31441279377776
1145,20170612,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,131.67531189781747,77.54801450768755,79.53321573490288
1179,20170613,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,137.73279540783952,78.849165458663,80.51999464403188
1296,20170614,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,127.10818473432651,72.35796496498246,72.80623620983751
1423,20170615,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,137.97148529146364,80.90131628738263,79.89416141257837
1495,20170616,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,131.21539724400512,76.08094497907099,76.52921622392604
1599,20170617,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,131.96930797398863,76.72133247172106,82.48481990557195
1729,20170618,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,134.64147032968313,78.03703768389309,80.37736288430527
1839,20170619,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,130.75548259019277,73.25450745469259,75.76075123274593
1919,20170620,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,129.2942347660548,77.14340604642226,78.43291358844044
1998,20170621,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,132.85129620250217,77.99628575254263,79.47208783787718
2058,20170622,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,136.5742762165907,81.04685889934856,80.56365742762166
2244,20170623,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,138.696287499054,82.62745166529858,82.04819206967417
2266,20170624,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,136.26572587922294,81.37869605463086,84.96777686571076
2381,20170625,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,139.6015625454821,82.283971101059,85.09294351200145
2478,20170626,c7537db4101856877ea6381d0174283c,c540a21b230d60ba07ccfd75c30ba164,c7537db4101856877ea6381d0174283cc540a21b230d60ba07ccfd75c30ba164,135.73303991942765,78.10398728539742,80.51417293955325
