,date_dt,city_code,district_code,city_district_code,dwell,flow_in,flow_out
17,20170601,c7537db4101856877ea6381d0174283c,d4f083bd8a1ed9c8cd9041e928e5880c,c7537db4101856877ea6381d0174283cd4f083bd8a1ed9c8cd9041e928e5880c,275.52962956494406,375.5406908034535,385.6733674485217
172,20170602,c7537db4101856877ea6381d0174283c,d4f083bd8a1ed9c8cd9041e928e5880c,c7537db4101856877ea6381d0174283cd4f083bd8a1ed9c8cd9041e928e5880c,275.11337769472146,380.331953589372,382.7304958345705
218,20170603,c7537db4101856877ea6381d0174283c,d4f083bd8a1ed9c8cd9041e928e5880c,c7537db4101856877ea6381d0174283cd4f083bd8a1ed9c8cd9041e928e5880c,202.9242421596195,299.54124968708334,286.77716261767125
302,20170604,c7537db4101856877ea6381d0174283c,d4f083bd8a1ed9c8cd9041e928e5880c,c7537db4101856877ea6381d0174283cd4f083bd8a1ed9c8cd9041e928e5880c,196.040076613631,269.62642122360586,267.08815807092003
471,20170605,c7537db4101856877ea6381d0174283c,d4f083bd8a1ed9c8cd9041e928e5880c,c7537db4101856877ea6381d0174283cd4f083bd8a1ed9c8cd9041e928e5880c,201.60562609520818,273.3697772033696,274.0276298094556
558,20170606,c7537db4101856877ea6381d0174283c,d4f083bd8a1ed9c8cd9041e928e5880c,c7537db4101856877ea6381d0174283cd4f083bd8a1ed9c8cd9041e928e5880c,286.1775270563716,384.7651815498542,375.7415396079664
625,20170607,c7537db4101856877ea6381d0174283c,d4f083bd8a1ed9c8cd9041e928e5880c,c7537db4101856877ea6381d0174283cd4f083bd8a1ed9c8cd9041e928e5880c,273.5822694168399,368.29849043202864,365.32068859120574
749,20170608,c7537db4101856877ea6381d0174283c,d4f083bd8a1ed9c8cd9041e928e5880c,c7537db4101856877ea6381d0174283cd4f083bd8a1ed9c8cd9041e928e5880c,278.6296871998184,385.03006910363223,394.3389745649732
865,20170609,c7537db4101856877ea6381d0174283c,d4f083bd8a1ed9c8cd9041e928e5880c,c7537db4101856877ea6381d0174283cd4f083bd8a1ed9c8cd9041e928e5880c,279.71252423284494,397.6689895267537,396.97620669379586
979,20170610,c7537db4101856877ea6381d0174283c,d4f083bd8a1ed9c8cd9041e928e5880c,c7537db4101856877ea6381d0174283cd4f083bd8a1ed9c8cd9041e928e5880c,269.527452247469,396.2630478951628,381.35948442985136
1047,20170611,c7537db4101856877ea6381d0174283c,d4f083bd8a1ed9c8cd9041e928e5880c,c7537db4101856877ea6381d0174283cd4f083bd8a1ed9c8cd9041e928e5880c,274.71750179017414,363.961320595444,361.26296056959563
1126,20170612,c7537db4101856877ea6381d0174283c,d4f083bd8a1ed9c8cd9041e928e5880c,c7537db4101856877ea6381d0174283cd4f083bd8a1ed9c8cd9041e928e5880c,273.83551356166055,364.418324397017,360.3664180798855
1263,20170613,c7537db4101856877ea6381d0174283c,d4f083bd8a1ed9c8cd9041e928e5880c,c7537db4101856877ea6381d0174283cd4f083bd8a1ed9c8cd9041e928e5880c,279.73290019852016,359.69983291708155,357.60693015701133
1353,20170614,c7537db4101856877ea6381d0174283c,d4f083bd8a1ed9c8cd9041e928e5880c,c7537db4101856877ea6381d0174283cd4f083bd8a1ed9c8cd9041e928e5880c,254.20181520745646,317.0150956797131,317.5477816395085
1408,20170615,c7537db4101856877ea6381d0174283c,d4f083bd8a1ed9c8cd9041e928e5880c,c7537db4101856877ea6381d0174283cd4f083bd8a1ed9c8cd9041e928e5880c,268.6163554965624,361.8567744264166,373.2120090119986
